0,x,y,z
C,0.6688682,-1.3106902,-0.0512685
C,-0.6689893,-1.3106311,0.0512815
C,1.5035365,-0.0495548,-0.1009034
C,0.69709,1.1938408,0.328502
C,-0.6969857,1.19389,-0.3285269
C,-1.5035389,-0.0494175,0.1009286
H,1.2054039,-2.2569985,-0.1031912
H,-1.2056104,-2.2568916,0.1031899
H,1.8941561,0.0936641,-1.1222339
H,2.389998,-0.1642091,0.5395799
H,1.2463133,2.1085993,0.0722346
H,0.577106,1.1882274,1.4215446
H,-0.5770026,1.1882209,-1.4215693
H,-1.2461277,2.1087073,-0.0722954
H,-2.3900361,-0.1639965,-0.5395177
H,-1.8941025,0.0938581,1.1222727
