0,x,y,z,
C,1.2913643,-0.6743547,0.511583,6
C,1.2928389,0.6726025,0.5103631,6
C,0.1032258,-1.1353243,-0.335363,6
C,-1.1942897,-0.7821512,0.4898956,6
C,-1.1922769,0.7853258,0.4893604,6
C,0.1055635,1.1345477,-0.3372622,6
C,0.0693675,-0.0012166,-1.404364,6
H,1.9314927,-1.3353818,1.0848002,1
H,1.9343491,1.3332743,1.0824439,1
H,0.137769,-2.1639875,-0.698615,1
H,-1.1601202,-1.2048539,1.4982127,1
H,-2.084316,-1.1792931,-0.0121829,1
H,-1.1554251,1.2084033,1.4974298,1
H,-2.0819468,1.1846778,-0.0115834,1
H,0.1419925,2.162539,-0.7022191,1
H,0.9505725,-0.0026846,-2.0522046,1
H,-0.8433517,-0.0007801,-2.0114539,1
