0,x,y,z
C,-1.126757,0.698325,-0.179865
C,0.220407,0.693003,-0.150842
C,0.921754,-0.655389,-0.136675
C,0.106417,-1.732607,0.596004
C,-1.359734,-1.714896,0.206937
C,-1.911124,-0.53646,-0.140469
C,1.039564,1.966495,-0.213747
C,-2.137125,-2.994716,0.319912
H,0.545241,-2.720613,0.407048
H,0.177632,-1.574231,1.686264
H,1.083566,-0.973416,-1.180419
H,1.919163,-0.581553,0.312192
H,-1.665326,1.642213,-0.251526
H,-2.973472,-0.477557,-0.371552
H,0.33237,2.798857,-0.335387
C,1.820738,2.216819,1.092813
C,1.990329,1.983022,-1.427537
H,-1.739764,-3.768222,-0.352725
H,-2.071878,-3.408888,1.337185
H,-3.196016,-2.849321,0.081892
H,1.145418,2.250139,1.954596
H,2.359512,3.170886,1.043106
H,2.562281,1.429859,1.276335
H,2.529919,2.936053,-1.481454
H,2.739065,1.184351,-1.362387
H,1.438065,1.851178,-2.364672
