 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ac,  Z =  89,  atomic weight = 2.27028E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.52745E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 89
 #
 # Total elastic cross section = 1.17318E-17 cm**2 = 4.18951E-01 a0**2
 # 1st transport cross section = 7.48116E-22 cm**2 = 2.67157E-05 a0**2
 # 2nd transport cross section = 1.95776E-21 cm**2 = 6.99127E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.68536E-12  9.58958E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.68534E-12  9.58951E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.68532E-12  9.58946E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.68531E-12  9.58941E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.68529E-12  9.58935E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.68527E-12  9.58927E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.68525E-12  9.58919E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.68522E-12  9.58910E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.68519E-12  9.58900E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.68516E-12  9.58888E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.68513E-12  9.58876E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.68509E-12  9.58863E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.68505E-12  9.58849E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.68501E-12  9.58834E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.68496E-12  9.58818E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.68491E-12  9.58801E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.68486E-12  9.58782E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.68481E-12  9.58763E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.68476E-12  9.58743E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.68470E-12  9.58722E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.68463E-12  9.58701E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.68457E-12  9.58678E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.68450E-12  9.58654E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.68443E-12  9.58629E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.68436E-12  9.58603E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.68429E-12  9.58576E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.68421E-12  9.58548E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.68413E-12  9.58519E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.68404E-12  9.58490E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.68396E-12  9.58459E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.68387E-12  9.58427E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.68378E-12  9.58395E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.68368E-12  9.58361E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.68359E-12  9.58326E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.68349E-12  9.58291E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.68338E-12  9.58254E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.68328E-12  9.58216E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.68317E-12  9.58178E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.68194E-12  9.57739E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.68044E-12  9.57203E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.67867E-12  9.56569E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.67662E-12  9.55839E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.67431E-12  9.55013E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.67173E-12  9.54091E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.66888E-12  9.53074E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.66576E-12  9.51961E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.66238E-12  9.50755E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.65874E-12  9.49454E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.65484E-12  9.48061E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.65068E-12  9.46574E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.64626E-12  9.44997E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.64159E-12  9.43328E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.63666E-12  9.41569E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.63148E-12  9.39720E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.62606E-12  9.37783E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.62039E-12  9.35759E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.61448E-12  9.33648E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.60833E-12  9.31452E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.60194E-12  9.29171E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.59532E-12  9.26806E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.58847E-12  9.24359E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.58139E-12  9.21831E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.57409E-12  9.19223E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.56656E-12  9.16536E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.55882E-12  9.13772E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.55087E-12  9.10931E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.54270E-12  9.08014E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.53433E-12  9.05024E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.52575E-12  9.01962E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.51698E-12  8.98829E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.50801E-12  8.95625E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.49884E-12  8.92353E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.48950E-12  8.89015E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.47996E-12  8.85611E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.37547E-12  8.48296E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.25759E-12  8.06201E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.13012E-12  7.60681E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.99722E-12  7.13219E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.86304E-12  6.65302E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.73061E-12  6.18011E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.60204E-12  5.72098E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.47915E-12  5.28214E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.36357E-12  4.86938E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.25613E-12  4.48574E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.15667E-12  4.13053E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.06520E-12  3.80389E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  9.81660E-13  3.50557E+04  0.00000E+00  1.0E-05
