 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Am,  Z =  95,  atomic weight = 2.43061E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.67763E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 95
 #
 # Total elastic cross section = 1.16824E-17 cm**2 = 4.17186E-01 a0**2
 # 1st transport cross section = 8.60579E-22 cm**2 = 3.07318E-05 a0**2
 # 2nd transport cross section = 2.22305E-21 cm**2 = 7.93865E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.99465E-12  7.12301E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.99463E-12  7.12297E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.99463E-12  7.12294E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.99462E-12  7.12290E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.99460E-12  7.12286E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.99459E-12  7.12282E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.99458E-12  7.12276E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.99456E-12  7.12270E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.99454E-12  7.12264E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.99452E-12  7.12257E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.99450E-12  7.12249E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.99448E-12  7.12241E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.99445E-12  7.12232E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.99442E-12  7.12222E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.99440E-12  7.12212E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.99437E-12  7.12201E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.99433E-12  7.12189E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.99430E-12  7.12177E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.99426E-12  7.12164E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.99423E-12  7.12151E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.99419E-12  7.12137E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.99415E-12  7.12122E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.99410E-12  7.12107E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.99406E-12  7.12091E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.99401E-12  7.12075E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.99396E-12  7.12058E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.99391E-12  7.12040E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.99386E-12  7.12022E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.99381E-12  7.12003E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.99376E-12  7.11983E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.99370E-12  7.11963E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.99364E-12  7.11942E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.99358E-12  7.11920E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.99352E-12  7.11898E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.99345E-12  7.11876E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.99339E-12  7.11852E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.99332E-12  7.11828E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.99325E-12  7.11804E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.99247E-12  7.11524E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.99151E-12  7.11182E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.99038E-12  7.10778E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.98908E-12  7.10312E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.98760E-12  7.09785E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.98595E-12  7.09197E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.98414E-12  7.08548E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.98215E-12  7.07838E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.97999E-12  7.07068E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.97767E-12  7.06238E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.97518E-12  7.05348E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.97252E-12  7.04399E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.96970E-12  7.03391E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.96671E-12  7.02325E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.96356E-12  7.01202E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.96026E-12  7.00021E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.95679E-12  6.98783E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.95317E-12  6.97489E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.94939E-12  6.96139E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.94546E-12  6.94735E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.94137E-12  6.93276E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.93713E-12  6.91763E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.93275E-12  6.90197E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.92822E-12  6.88579E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.92354E-12  6.86909E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.91872E-12  6.85188E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.91376E-12  6.83416E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.90866E-12  6.81596E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.90343E-12  6.79726E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.89806E-12  6.77809E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.89256E-12  6.75844E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.88693E-12  6.73833E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.88117E-12  6.71777E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.87528E-12  6.69676E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.86928E-12  6.67531E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.86315E-12  6.65344E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.79584E-12  6.41306E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.71951E-12  6.14048E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.63652E-12  5.84413E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.54945E-12  5.53318E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.46085E-12  5.21680E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.37267E-12  4.90190E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.28631E-12  4.59350E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.20299E-12  4.29596E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.12379E-12  4.01311E+04  0.00000E+00  1.0E-05
