 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ar,  Z =  18,  atomic weight = 3.99480E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.65776E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 18
 #
 # Total elastic cross section = 1.16382E-18 cm**2 = 4.15608E-02 a0**2
 # 1st transport cross section = 2.80767E-23 cm**2 = 1.00264E-06 a0**2
 # 2nd transport cross section = 7.98785E-23 cm**2 = 2.85251E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.41632E-13  5.05777E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.41632E-13  5.05776E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.41631E-13  5.05775E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.41631E-13  5.05774E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.41631E-13  5.05773E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.41631E-13  5.05772E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.41630E-13  5.05771E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.41630E-13  5.05770E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.41629E-13  5.05768E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.41629E-13  5.05766E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.41629E-13  5.05765E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.41628E-13  5.05763E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.41627E-13  5.05761E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.41627E-13  5.05759E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.41626E-13  5.05756E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.41625E-13  5.05754E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.41625E-13  5.05751E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.41624E-13  5.05749E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.41623E-13  5.05746E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.41622E-13  5.05743E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.41622E-13  5.05740E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.41621E-13  5.05736E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.41620E-13  5.05733E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.41619E-13  5.05730E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.41618E-13  5.05726E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.41617E-13  5.05722E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.41616E-13  5.05718E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.41614E-13  5.05714E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.41613E-13  5.05710E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.41612E-13  5.05706E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.41611E-13  5.05701E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.41609E-13  5.05697E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.41608E-13  5.05692E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.41607E-13  5.05687E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.41605E-13  5.05682E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.41604E-13  5.05677E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.41602E-13  5.05672E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.41601E-13  5.05666E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.41584E-13  5.05605E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.41563E-13  5.05530E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.41538E-13  5.05442E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.41510E-13  5.05340E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.41477E-13  5.05225E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.41441E-13  5.05096E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.41402E-13  5.04954E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.41358E-13  5.04799E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.41311E-13  5.04630E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.41260E-13  5.04448E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.41205E-13  5.04252E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.41146E-13  5.04043E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.41084E-13  5.03821E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.41018E-13  5.03586E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.40949E-13  5.03337E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.40875E-13  5.03075E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.40798E-13  5.02800E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.40718E-13  5.02512E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.40633E-13  5.02211E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.40545E-13  5.01897E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.40454E-13  5.01569E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.40358E-13  5.01228E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.40259E-13  5.00876E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.40157E-13  5.00509E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.40050E-13  5.00129E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.39941E-13  4.99737E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.39827E-13  4.99333E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.39710E-13  4.98914E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.39590E-13  4.98484E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.39466E-13  4.98042E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.39338E-13  4.97585E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.39207E-13  4.97116E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.39072E-13  4.96636E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.38934E-13  4.96143E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.38792E-13  4.95636E+03  0.00000E+00  1.0E-05
