 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: As,  Z =  33,  atomic weight = 7.49216E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.51079E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 33
 #
 # Total elastic cross section = 2.52725E-18 cm**2 = 9.02497E-02 a0**2
 # 1st transport cross section = 9.41298E-23 cm**2 = 3.36144E-06 a0**2
 # 2nd transport cross section = 2.65162E-22 cm**2 = 9.46912E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.60519E-13  1.28744E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.60518E-13  1.28743E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.60517E-13  1.28743E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.60516E-13  1.28743E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.60515E-13  1.28742E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.60514E-13  1.28742E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.60512E-13  1.28741E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.60511E-13  1.28741E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.60509E-13  1.28740E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.60507E-13  1.28739E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.60505E-13  1.28739E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.60503E-13  1.28738E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.60500E-13  1.28737E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.60498E-13  1.28736E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.60495E-13  1.28735E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.60492E-13  1.28734E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.60489E-13  1.28733E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.60486E-13  1.28732E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.60482E-13  1.28731E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.60479E-13  1.28729E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.60475E-13  1.28728E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.60471E-13  1.28727E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.60467E-13  1.28725E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.60463E-13  1.28724E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.60458E-13  1.28722E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.60454E-13  1.28720E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.60449E-13  1.28719E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.60444E-13  1.28717E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.60439E-13  1.28715E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.60434E-13  1.28713E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.60428E-13  1.28711E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.60422E-13  1.28709E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.60417E-13  1.28707E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.60411E-13  1.28705E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.60405E-13  1.28703E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.60398E-13  1.28701E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.60392E-13  1.28698E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.60385E-13  1.28696E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.60310E-13  1.28669E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.60218E-13  1.28636E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.60109E-13  1.28597E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.59984E-13  1.28553E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.59842E-13  1.28502E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.59684E-13  1.28445E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.59508E-13  1.28383E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.59317E-13  1.28314E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.59108E-13  1.28240E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.58884E-13  1.28160E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.58642E-13  1.28074E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.58385E-13  1.27982E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.58111E-13  1.27884E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.57821E-13  1.27780E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.57515E-13  1.27671E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.57193E-13  1.27556E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.56854E-13  1.27435E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.56500E-13  1.27308E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.56129E-13  1.27176E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.55743E-13  1.27038E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.55341E-13  1.26895E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.54924E-13  1.26746E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.54491E-13  1.26591E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.54042E-13  1.26431E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.53578E-13  1.26265E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.53099E-13  1.26094E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.52604E-13  1.25917E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.52094E-13  1.25735E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  3.51570E-13  1.25548E+04  0.00000E+00  1.0E-05
