 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ba,  Z =  56,  atomic weight = 1.37327E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.52038E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 56
 #
 # Total elastic cross section = 7.36390E-18 cm**2 = 2.62970E-01 a0**2
 # 1st transport cross section = 2.79954E-22 cm**2 = 9.99735E-06 a0**2
 # 2nd transport cross section = 7.72332E-22 cm**2 = 2.75805E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.19973E-12  7.85539E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.19971E-12  7.85531E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.19970E-12  7.85526E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.19968E-12  7.85520E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.19966E-12  7.85513E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.19964E-12  7.85505E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.19961E-12  7.85496E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.19958E-12  7.85486E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.19955E-12  7.85475E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.19952E-12  7.85462E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.19948E-12  7.85449E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.19944E-12  7.85435E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.19940E-12  7.85419E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.19935E-12  7.85403E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.19930E-12  7.85385E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.19925E-12  7.85367E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.19920E-12  7.85347E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.19914E-12  7.85326E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.19908E-12  7.85304E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.19901E-12  7.85281E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.19895E-12  7.85258E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.19887E-12  7.85233E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.19880E-12  7.85206E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.19873E-12  7.85179E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.19865E-12  7.85151E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.19856E-12  7.85122E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.19848E-12  7.85091E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.19839E-12  7.85060E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.19830E-12  7.85028E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.19821E-12  7.84994E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.19811E-12  7.84959E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.19801E-12  7.84924E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.19791E-12  7.84887E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.19780E-12  7.84849E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.19769E-12  7.84810E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.19758E-12  7.84770E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.19747E-12  7.84729E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.19735E-12  7.84687E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.19601E-12  7.84209E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.19437E-12  7.83624E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.19244E-12  7.82934E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.19021E-12  7.82139E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.18770E-12  7.81240E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.18489E-12  7.80237E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.18179E-12  7.79130E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.17840E-12  7.77921E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.17473E-12  7.76610E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.17078E-12  7.75198E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.16654E-12  7.73686E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.16203E-12  7.72075E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.15724E-12  7.70366E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.15219E-12  7.68560E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.14686E-12  7.66658E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.14127E-12  7.64661E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.13541E-12  7.62570E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.12930E-12  7.60388E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.12294E-12  7.58115E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.11632E-12  7.55752E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.10946E-12  7.53300E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.10235E-12  7.50763E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.09501E-12  7.48140E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.08743E-12  7.45434E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.07962E-12  7.42645E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.07159E-12  7.39777E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.06333E-12  7.36830E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.05487E-12  7.33806E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.04619E-12  7.30706E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.03730E-12  7.27534E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.02822E-12  7.24290E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.01894E-12  7.20976E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.00946E-12  7.17593E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.99981E-12  7.14144E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.98997E-12  7.10632E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.97996E-12  7.07057E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.87143E-12  6.68300E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.75214E-12  6.25700E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.62594E-12  5.80633E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.49769E-12  5.34836E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.37243E-12  4.90103E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.25281E-12  4.47386E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.14008E-12  4.07129E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.03552E-12  3.69791E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  9.40457E-13  3.35843E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  8.55081E-13  3.05355E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  7.78140E-13  2.77879E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  7.09208E-13  2.53263E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  6.47898E-13  2.31369E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  5.93825E-13  2.12059E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  5.45545E-13  1.94817E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  5.02454E-13  1.79429E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  4.63982E-13  1.65691E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  4.29802E-13  1.53485E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.99028E-13  1.42495E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.71268E-13  1.32582E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  3.46169E-13  1.23619E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  3.23428E-13  1.15498E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  3.02688E-13  1.08092E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.83720E-13  1.01318E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.66331E-13  9.51085E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.50314E-13  8.93889E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.35516E-13  8.41043E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  2.21832E-13  7.92175E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  2.09154E-13  7.46903E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.97359E-13  7.04781E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.86350E-13  6.65469E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.76097E-13  6.28855E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.66536E-13  5.94710E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.57595E-13  5.62781E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.49194E-13  5.32781E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.41336E-13  5.04721E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  8.48178E-14  3.02890E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  5.32004E-14  1.89982E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  3.55356E-14  1.26900E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.47810E-14  8.84946E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  1.77715E-14  6.34631E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.30483E-14  4.65963E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  9.79087E-15  3.49638E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  7.47548E-15  2.66954E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  5.78141E-15  2.06458E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  4.52844E-15  1.61714E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  3.59887E-15  1.28518E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  2.89812E-15  1.03494E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  2.36202E-15  8.43492E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  1.94617E-15  6.94991E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  1.62122E-15  5.78946E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  1.36339E-15  4.86874E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.15766E-15  4.13409E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  9.89884E-16  3.53494E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  8.52256E-16  3.04346E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  7.38273E-16  2.63642E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  6.43094E-16  2.29653E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  5.62763E-16  2.00966E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  4.94460E-16  1.76575E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  4.36245E-16  1.55786E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  3.86396E-16  1.37984E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  3.43330E-16  1.22606E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  3.06008E-16  1.09278E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  2.73579E-16  9.76969E+00  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  2.45277E-16  8.75899E+00  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  2.20431E-16  7.87174E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  1.98548E-16  7.09029E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  1.79278E-16  6.40215E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  1.62260E-16  5.79442E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  1.47178E-16  5.25581E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  1.33761E-16  4.77668E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  1.21832E-16  4.35069E+00  0.00000E+00  6.2E-06
  1.100E+00  9.21439E-05  8.55132E-17  3.05373E+00  0.00000E+00  4.6E-06
  1.200E+00  1.09658E-04  6.17646E-17  2.20565E+00  0.00000E+00  2.5E-06
  1.300E+00  1.28695E-04  4.57316E-17  1.63311E+00  0.00000E+00  5.2E-07
  1.400E+00  1.49255E-04  3.45865E-17  1.23511E+00  0.00000E+00  9.8E-07
  1.500E+00  1.71338E-04  2.66728E-17  9.52502E-01  0.00000E+00  1.8E-06
  1.600E+00  1.94942E-04  2.09141E-17  7.46857E-01  0.00000E+00  1.9E-06
  1.700E+00  2.20070E-04  1.66357E-17  5.94072E-01  0.00000E+00  1.5E-06
  1.800E+00  2.46720E-04  1.33977E-17  4.78442E-01  0.00000E+00  8.7E-07
  1.900E+00  2.74892E-04  1.09141E-17  3.89750E-01  0.00000E+00  1.5E-07
  2.000E+00  3.04586E-04  8.98239E-18  3.20767E-01  0.00000E+00  4.4E-07
  2.100E+00  3.35803E-04  7.46070E-18  2.66426E-01  0.00000E+00  7.9E-07
  2.200E+00  3.68542E-04  6.24583E-18  2.23043E-01  0.00000E+00  8.6E-07
  2.300E+00  4.02802E-04  5.26890E-18  1.88156E-01  0.00000E+00  7.0E-07
  2.400E+00  4.38585E-04  4.47589E-18  1.59837E-01  0.00000E+00  4.0E-07
  2.500E+00  4.75889E-04  3.82668E-18  1.36653E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  3.29020E-18  1.17495E-01  0.00000E+00  2.5E-07
  2.700E+00  5.55063E-04  2.84450E-18  1.01579E-01  0.00000E+00  4.3E-07
  2.800E+00  5.96931E-04  2.47180E-18  8.82696E-02  0.00000E+00  4.7E-07
  2.900E+00  6.40321E-04  2.15819E-18  7.70704E-02  0.00000E+00  3.8E-07
  3.000E+00  6.85233E-04  1.89259E-18  6.75855E-02  0.00000E+00  2.1E-07
  3.100E+00  7.31665E-04  1.66656E-18  5.95140E-02  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  1.47333E-18  5.26137E-02  0.00000E+00  1.6E-07
  3.300E+00  8.29092E-04  1.30734E-18  4.66861E-02  0.00000E+00  2.7E-07
  3.400E+00  8.80086E-04  1.16407E-18  4.15695E-02  0.00000E+00  2.9E-07
  3.500E+00  9.32601E-04  1.03987E-18  3.71344E-02  0.00000E+00  2.3E-07
  3.600E+00  9.86636E-04  9.31841E-19  3.32767E-02  0.00000E+00  1.2E-07
  3.700E+00  1.04219E-03  8.37520E-19  2.99084E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  7.54853E-19  2.69563E-02  0.00000E+00  1.1E-07
  3.900E+00  1.15786E-03  6.82138E-19  2.43596E-02  0.00000E+00  1.8E-07
  4.000E+00  1.21797E-03  6.18002E-19  2.20693E-02  0.00000E+00  1.9E-07
  4.100E+00  1.27961E-03  5.61257E-19  2.00429E-02  0.00000E+00  1.5E-07
  4.200E+00  1.34276E-03  5.10901E-19  1.82446E-02  0.00000E+00  1.0E-07
  4.300E+00  1.40743E-03  4.66071E-19  1.66437E-02  0.00000E+00  1.0E-07
  4.400E+00  1.47362E-03  4.26075E-19  1.52154E-02  0.00000E+00  1.0E-07
  4.500E+00  1.54133E-03  3.90297E-19  1.39378E-02  0.00000E+00  1.3E-07
  4.600E+00  1.61056E-03  3.58215E-19  1.27921E-02  0.00000E+00  1.3E-07
  4.700E+00  1.68131E-03  3.29370E-19  1.17620E-02  0.00000E+00  1.0E-07
  4.800E+00  1.75357E-03  3.03384E-19  1.08340E-02  0.00000E+00  1.0E-07
  4.900E+00  1.82735E-03  2.79925E-19  9.99630E-03  0.00000E+00  1.0E-07
  5.000E+00  1.90265E-03  2.58702E-19  9.23842E-03  0.00000E+00  1.0E-07
  5.100E+00  1.97947E-03  2.39460E-19  8.55129E-03  0.00000E+00  1.0E-07
  5.200E+00  2.05780E-03  2.21983E-19  7.92717E-03  0.00000E+00  1.0E-07
  5.300E+00  2.13765E-03  2.06081E-19  7.35930E-03  0.00000E+00  1.0E-07
  5.400E+00  2.21902E-03  1.91587E-19  6.84169E-03  0.00000E+00  1.0E-07
  5.500E+00  2.30190E-03  1.78350E-19  6.36901E-03  0.00000E+00  1.0E-07
  5.600E+00  2.38630E-03  1.66243E-19  5.93665E-03  0.00000E+00  1.0E-07
  5.700E+00  2.47222E-03  1.55152E-19  5.54060E-03  0.00000E+00  1.0E-07
  5.800E+00  2.55965E-03  1.44977E-19  5.17724E-03  0.00000E+00  1.0E-07
  5.900E+00  2.64859E-03  1.35628E-19  4.84335E-03  0.00000E+00  1.0E-07
  6.000E+00  2.73905E-03  1.27023E-19  4.53608E-03  0.00000E+00  1.0E-07
  6.100E+00  2.83103E-03  1.19095E-19  4.25297E-03  0.00000E+00  1.0E-07
  6.200E+00  2.92452E-03  1.11780E-19  3.99174E-03  0.00000E+00  1.0E-07
  6.300E+00  3.01952E-03  1.05022E-19  3.75040E-03  0.00000E+00  1.0E-07
  6.400E+00  3.11604E-03  9.87693E-20  3.52712E-03  0.00000E+00  1.0E-07
  6.500E+00  3.21407E-03  9.29784E-20  3.32032E-03  0.00000E+00  1.0E-07
  6.600E+00  3.31362E-03  8.76088E-20  3.12857E-03  0.00000E+00  1.0E-07
  6.700E+00  3.41468E-03  8.26241E-20  2.95056E-03  0.00000E+00  1.0E-07
  6.800E+00  3.51725E-03  7.79906E-20  2.78510E-03  0.00000E+00  1.0E-07
  6.900E+00  3.62133E-03  7.36798E-20  2.63115E-03  0.00000E+00  1.0E-07
  7.000E+00  3.72692E-03  6.96650E-20  2.48778E-03  0.00000E+00  1.0E-07
  7.100E+00  3.83403E-03  6.59220E-20  2.35412E-03  0.00000E+00  1.0E-07
  7.200E+00  3.94265E-03  6.24285E-20  2.22936E-03  0.00000E+00  1.0E-07
