 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Bi,  Z =  83,  atomic weight = 2.08980E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34969E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 83
 #
 # Total elastic cross section = 9.03554E-18 cm**2 = 3.22665E-01 a0**2
 # 1st transport cross section = 6.43294E-22 cm**2 = 2.29724E-05 a0**2
 # 2nd transport cross section = 1.70339E-21 cm**2 = 6.08292E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.13846E-12  4.06552E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.13846E-12  4.06550E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.13845E-12  4.06549E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.13845E-12  4.06548E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.13845E-12  4.06547E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.13844E-12  4.06545E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.13844E-12  4.06544E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.13843E-12  4.06542E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.13843E-12  4.06539E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.13842E-12  4.06537E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.13841E-12  4.06535E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.13841E-12  4.06532E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.13840E-12  4.06529E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.13839E-12  4.06526E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.13838E-12  4.06523E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.13837E-12  4.06519E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.13836E-12  4.06515E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.13835E-12  4.06511E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.13834E-12  4.06507E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.13832E-12  4.06503E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.13831E-12  4.06498E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.13830E-12  4.06494E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.13828E-12  4.06489E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.13827E-12  4.06484E+04  0.00000E+00  1.0E-05
