 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ca,  Z =  20,  atomic weight = 4.00780E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.66173E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 20
 #
 # Total elastic cross section = 1.83890E-18 cm**2 = 6.56685E-02 a0**2
 # 1st transport cross section = 3.47194E-23 cm**2 = 1.23985E-06 a0**2
 # 2nd transport cross section = 9.86762E-23 cm**2 = 3.52379E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.63894E-13  2.37081E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  6.63887E-13  2.37078E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  6.63883E-13  2.37077E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  6.63879E-13  2.37075E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  6.63874E-13  2.37074E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  6.63868E-13  2.37071E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  6.63861E-13  2.37069E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  6.63853E-13  2.37066E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  6.63844E-13  2.37063E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  6.63835E-13  2.37060E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  6.63825E-13  2.37056E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  6.63814E-13  2.37052E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  6.63803E-13  2.37048E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  6.63790E-13  2.37044E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  6.63777E-13  2.37039E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  6.63763E-13  2.37034E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  6.63748E-13  2.37029E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  6.63732E-13  2.37023E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  6.63716E-13  2.37017E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  6.63698E-13  2.37011E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  6.63680E-13  2.37005E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  6.63661E-13  2.36998E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  6.63642E-13  2.36991E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  6.63621E-13  2.36983E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  6.63600E-13  2.36976E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  6.63578E-13  2.36968E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  6.63555E-13  2.36960E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  6.63532E-13  2.36951E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  6.63507E-13  2.36943E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  6.63482E-13  2.36934E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  6.63456E-13  2.36924E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  6.63429E-13  2.36915E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  6.63401E-13  2.36905E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  6.63373E-13  2.36895E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  6.63344E-13  2.36884E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  6.63314E-13  2.36874E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  6.63283E-13  2.36863E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  6.63251E-13  2.36851E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  6.62892E-13  2.36723E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  6.62453E-13  2.36566E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  6.61934E-13  2.36381E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  6.61338E-13  2.36168E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  6.60662E-13  2.35927E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  6.59909E-13  2.35658E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  6.59077E-13  2.35361E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  6.58169E-13  2.35036E+04  0.00000E+00  1.0E-05
