 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ce,  Z =  58,  atomic weight = 1.40116E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.55750E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 58
 #
 # Total elastic cross section = 7.40017E-18 cm**2 = 2.64265E-01 a0**2
 # 1st transport cross section = 3.01287E-22 cm**2 = 1.07591E-05 a0**2
 # 2nd transport cross section = 8.29225E-22 cm**2 = 2.96121E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.98642E-12  7.09364E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.98640E-12  7.09357E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.98639E-12  7.09353E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.98638E-12  7.09349E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.98636E-12  7.09343E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.98634E-12  7.09336E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.98632E-12  7.09329E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.98630E-12  7.09320E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.98627E-12  7.09311E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.98624E-12  7.09301E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.98621E-12  7.09289E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.98618E-12  7.09277E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.98614E-12  7.09265E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.98610E-12  7.09251E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.98606E-12  7.09236E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.98602E-12  7.09221E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.98597E-12  7.09204E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.98593E-12  7.09187E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.98587E-12  7.09169E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.98582E-12  7.09149E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.98576E-12  7.09129E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.98571E-12  7.09109E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.98565E-12  7.09087E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.98558E-12  7.09064E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.98552E-12  7.09041E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.98545E-12  7.09016E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.98538E-12  7.08991E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.98530E-12  7.08965E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.98523E-12  7.08937E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.98515E-12  7.08909E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.98507E-12  7.08881E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.98498E-12  7.08851E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.98490E-12  7.08820E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.98481E-12  7.08789E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.98472E-12  7.08756E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.98463E-12  7.08723E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.98453E-12  7.08689E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.98443E-12  7.08653E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.98331E-12  7.08254E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.98195E-12  7.07766E+04  0.00000E+00  1.0E-05
