 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cl,  Z =  17,  atomic weight = 3.54527E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.51507E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 17
 #
 # Total elastic cross section = 1.11775E-18 cm**2 = 3.99156E-02 a0**2
 # 1st transport cross section = 2.50665E-23 cm**2 = 8.95141E-07 a0**2
 # 2nd transport cross section = 7.13554E-23 cm**2 = 2.54815E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.59809E-13  5.70687E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.59808E-13  5.70685E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.59808E-13  5.70684E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.59807E-13  5.70683E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.59807E-13  5.70682E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.59807E-13  5.70680E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.59806E-13  5.70679E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.59806E-13  5.70677E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.59805E-13  5.70675E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.59805E-13  5.70673E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.59804E-13  5.70670E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.59803E-13  5.70668E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.59802E-13  5.70665E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.59802E-13  5.70662E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.59801E-13  5.70659E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.59800E-13  5.70656E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.59799E-13  5.70652E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.59798E-13  5.70649E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.59797E-13  5.70645E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.59796E-13  5.70641E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.59795E-13  5.70637E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.59793E-13  5.70632E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.59792E-13  5.70628E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.59791E-13  5.70623E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.59789E-13  5.70618E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.59788E-13  5.70613E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.59786E-13  5.70608E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.59785E-13  5.70602E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.59783E-13  5.70597E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.59782E-13  5.70591E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.59780E-13  5.70585E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.59778E-13  5.70578E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.59776E-13  5.70572E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.59775E-13  5.70566E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.59773E-13  5.70559E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.59771E-13  5.70552E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.59769E-13  5.70545E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.59767E-13  5.70538E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.59744E-13  5.70455E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.59715E-13  5.70354E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.59682E-13  5.70234E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.59643E-13  5.70097E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.59600E-13  5.69941E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.59551E-13  5.69767E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.59497E-13  5.69576E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.59439E-13  5.69366E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.59375E-13  5.69138E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.59306E-13  5.68891E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.59232E-13  5.68627E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.59153E-13  5.68345E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.59069E-13  5.68045E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.58980E-13  5.67727E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.58886E-13  5.67391E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.58787E-13  5.67038E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.58683E-13  5.66666E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.58574E-13  5.66277E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.58460E-13  5.65871E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.58341E-13  5.65447E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.58217E-13  5.65004E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.58089E-13  5.64545E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.57955E-13  5.64069E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.57817E-13  5.63574E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.57673E-13  5.63062E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.57526E-13  5.62534E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.57373E-13  5.61988E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.57215E-13  5.61424E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.57052E-13  5.60845E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.56886E-13  5.60249E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.56713E-13  5.59634E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.56537E-13  5.59003E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.56356E-13  5.58357E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.56170E-13  5.57692E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.55979E-13  5.57011E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.55784E-13  5.56314E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.53584E-13  5.48460E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.50955E-13  5.39069E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.47927E-13  5.28258E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.44539E-13  5.16156E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.40827E-13  5.02904E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.36835E-13  4.88648E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.32604E-13  4.73539E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.28177E-13  4.57729E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.23595E-13  4.41367E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.18741E-13  4.24031E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.13756E-13  4.06231E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.09005E-13  3.89264E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.04502E-13  3.73182E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  9.94084E-14  3.54994E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  9.46334E-14  3.37942E+03  0.00000E+00  1.0E-05
