 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cm,  Z =  96,  atomic weight = 2.47000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.71351E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 96
 #
 # Total elastic cross section = 1.19455E-17 cm**2 = 4.26581E-01 a0**2
 # 1st transport cross section = 8.80108E-22 cm**2 = 3.14292E-05 a0**2
 # 2nd transport cross section = 2.26844E-21 cm**2 = 8.10076E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.99553E-12  7.12618E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.99552E-12  7.12614E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.99552E-12  7.12611E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.99551E-12  7.12608E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.99550E-12  7.12605E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.99549E-12  7.12601E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.99547E-12  7.12596E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.99546E-12  7.12591E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.99544E-12  7.12585E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.99542E-12  7.12579E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.99540E-12  7.12572E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.99538E-12  7.12564E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.99536E-12  7.12556E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.99534E-12  7.12548E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.99531E-12  7.12539E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.99528E-12  7.12529E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.99526E-12  7.12519E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.99523E-12  7.12508E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.99519E-12  7.12496E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.99516E-12  7.12485E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.99513E-12  7.12472E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.99509E-12  7.12459E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.99505E-12  7.12446E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.99501E-12  7.12431E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.99497E-12  7.12417E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.99493E-12  7.12402E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.99488E-12  7.12386E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.99484E-12  7.12369E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.99479E-12  7.12353E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.99474E-12  7.12335E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.99469E-12  7.12317E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.99464E-12  7.12299E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.99459E-12  7.12280E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.99453E-12  7.12260E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.99447E-12  7.12240E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.99442E-12  7.12219E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.99436E-12  7.12198E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.99430E-12  7.12176E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.99360E-12  7.11927E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.99275E-12  7.11623E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.99174E-12  7.11263E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.99058E-12  7.10849E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.98927E-12  7.10380E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.98780E-12  7.09857E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.98618E-12  7.09279E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.98441E-12  7.08647E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.98249E-12  7.07961E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.98042E-12  7.07221E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.97820E-12  7.06429E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.97583E-12  7.05583E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.97332E-12  7.04684E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.97065E-12  7.03733E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.96785E-12  7.02731E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.96489E-12  7.01676E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.96180E-12  7.00571E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.95856E-12  6.99415E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.95518E-12  6.98208E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.95166E-12  6.96952E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.94801E-12  6.95646E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.94422E-12  6.94292E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.94029E-12  6.92889E+04  0.00000E+00  1.0E-05
