 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cs,  Z =  55,  atomic weight = 1.32905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.46049E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 55
 #
 # Total elastic cross section = 6.72830E-18 cm**2 = 2.40272E-01 a0**2
 # 1st transport cross section = 2.69486E-22 cm**2 = 9.62350E-06 a0**2
 # 2nd transport cross section = 7.44258E-22 cm**2 = 2.65779E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.79550E-12  6.41185E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.79548E-12  6.41177E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.79546E-12  6.41172E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.79545E-12  6.41167E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.79543E-12  6.41160E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.79541E-12  6.41152E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.79539E-12  6.41144E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.79536E-12  6.41134E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.79533E-12  6.41124E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.79530E-12  6.41112E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.79526E-12  6.41099E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.79522E-12  6.41086E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.79518E-12  6.41071E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.79514E-12  6.41055E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.79509E-12  6.41038E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.79504E-12  6.41021E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.79499E-12  6.41002E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.79493E-12  6.40982E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.79487E-12  6.40961E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.79481E-12  6.40940E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.79475E-12  6.40917E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.79468E-12  6.40893E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.79461E-12  6.40868E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.79454E-12  6.40842E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.79447E-12  6.40816E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.79439E-12  6.40788E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.79431E-12  6.40759E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.79422E-12  6.40729E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.79414E-12  6.40698E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.79405E-12  6.40666E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.79396E-12  6.40633E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.79386E-12  6.40599E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.79376E-12  6.40564E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.79366E-12  6.40528E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.79356E-12  6.40492E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.79345E-12  6.40454E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.79334E-12  6.40415E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.79323E-12  6.40375E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.79196E-12  6.39919E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.79040E-12  6.39364E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.78857E-12  6.38708E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.78645E-12  6.37953E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.78406E-12  6.37100E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.78140E-12  6.36148E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.77846E-12  6.35099E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.77525E-12  6.33954E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.77178E-12  6.32713E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.76804E-12  6.31378E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.76404E-12  6.29949E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.75978E-12  6.28429E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.75527E-12  6.26817E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.75050E-12  6.25116E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.74549E-12  6.23327E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.74024E-12  6.21451E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.73474E-12  6.19489E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.72902E-12  6.17444E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.72306E-12  6.15317E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.71688E-12  6.13109E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.71048E-12  6.10822E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.70386E-12  6.08459E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.69703E-12  6.06021E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.69000E-12  6.03509E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.68276E-12  6.00925E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.67533E-12  5.98272E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.66772E-12  5.95552E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.65991E-12  5.92766E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.65193E-12  5.89915E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.64378E-12  5.87004E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.63546E-12  5.84034E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.62698E-12  5.81006E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.61834E-12  5.77921E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.60956E-12  5.74783E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.60063E-12  5.71596E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.59157E-12  5.68360E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.49465E-12  5.33749E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.39158E-12  4.96944E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.28511E-12  4.58920E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.17985E-12  4.21333E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.08060E-12  3.85891E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  9.88659E-13  3.53057E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  9.03971E-13  3.22814E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  8.27024E-13  2.95336E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  7.58497E-13  2.70864E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  6.97849E-13  2.49207E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  6.43471E-13  2.29788E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  5.94828E-13  2.12417E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  5.51458E-13  1.96929E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  5.12841E-13  1.83139E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.77890E-13  1.70658E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.46198E-13  1.59340E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  4.17383E-13  1.49050E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.91082E-13  1.39658E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.66887E-13  1.31018E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.44583E-13  1.23053E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  3.23975E-13  1.15694E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  3.04791E-13  1.08843E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.86932E-13  1.02465E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.70306E-13  9.65280E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.54808E-13  9.09934E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.40268E-13  8.58014E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.26641E-13  8.09351E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  2.13903E-13  7.63862E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  2.01988E-13  7.21311E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.90795E-13  6.81341E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.80266E-13  6.43742E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.70411E-13  6.08549E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.61182E-13  5.75592E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.52522E-13  5.44665E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.44361E-13  5.15522E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.36718E-13  4.88227E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  8.17885E-14  2.92072E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  5.14246E-14  1.83641E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  3.44731E-14  1.23106E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.41274E-14  8.61604E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  1.73221E-14  6.18582E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.27080E-14  4.53810E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  9.51971E-15  3.39955E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  7.25390E-15  2.59041E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  5.60053E-15  1.99999E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  4.38266E-15  1.56508E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  3.48183E-15  1.24339E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  2.80445E-15  1.00149E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  2.28726E-15  8.16795E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  1.88644E-15  6.73659E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  1.57310E-15  5.61763E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  1.32430E-15  4.72916E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.12553E-15  4.01933E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  9.63093E-16  3.43927E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  8.29638E-16  2.96269E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  7.18944E-16  2.56740E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  6.26379E-16  2.23684E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  5.48124E-16  1.95739E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  4.81531E-16  1.71958E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  4.24735E-16  1.51676E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  3.76076E-16  1.34299E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  3.34023E-16  1.19282E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  2.97579E-16  1.06267E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  2.65919E-16  9.49615E+00  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  2.38297E-16  8.50974E+00  0.00000E+00  1.0E-05
