 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Er,  Z =  68,  atomic weight = 1.67260E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.89542E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 68
 #
 # Total elastic cross section = 7.16918E-18 cm**2 = 2.56016E-01 a0**2
 # 1st transport cross section = 4.20442E-22 cm**2 = 1.50143E-05 a0**2
 # 2nd transport cross section = 1.14171E-21 cm**2 = 4.07714E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.28130E-12  4.57561E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.28129E-12  4.57557E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.28129E-12  4.57555E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.28128E-12  4.57553E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.28127E-12  4.57550E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.28126E-12  4.57546E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.28125E-12  4.57543E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.28124E-12  4.57538E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.28122E-12  4.57534E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.28121E-12  4.57529E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.28119E-12  4.57523E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.28118E-12  4.57517E+04  0.00000E+00  1.0E-05
