 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Es,  Z =  99,  atomic weight = 2.52000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.75850E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 99
 #
 # Total elastic cross section = 1.16069E-17 cm**2 = 4.14491E-01 a0**2
 # 1st transport cross section = 9.39639E-22 cm**2 = 3.35551E-05 a0**2
 # 2nd transport cross section = 2.40494E-21 cm**2 = 8.58818E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.69181E-12  6.04156E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.69180E-12  6.04153E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.69179E-12  6.04151E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.69179E-12  6.04148E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.69178E-12  6.04145E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.69177E-12  6.04141E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.69176E-12  6.04137E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.69174E-12  6.04133E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.69173E-12  6.04128E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.69172E-12  6.04122E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.69170E-12  6.04117E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.69168E-12  6.04110E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.69166E-12  6.04103E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.69164E-12  6.04096E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.69162E-12  6.04088E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.69160E-12  6.04080E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.69157E-12  6.04071E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.69155E-12  6.04062E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.69152E-12  6.04052E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.69149E-12  6.04042E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.69146E-12  6.04032E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.69143E-12  6.04021E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.69140E-12  6.04009E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.69136E-12  6.03997E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.69133E-12  6.03985E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.69129E-12  6.03972E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.69125E-12  6.03958E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.69122E-12  6.03944E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.69118E-12  6.03930E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.69113E-12  6.03915E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.69109E-12  6.03900E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.69105E-12  6.03884E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.69100E-12  6.03868E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.69095E-12  6.03851E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.69091E-12  6.03834E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.69086E-12  6.03816E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.69081E-12  6.03798E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.69075E-12  6.03779E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.69016E-12  6.03567E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.68943E-12  6.03307E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.68857E-12  6.03001E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.68759E-12  6.02648E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.68647E-12  6.02248E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.68522E-12  6.01802E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.68384E-12  6.01309E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.68233E-12  6.00770E+04  0.00000E+00  1.0E-05
