 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fm,  Z = 100,  atomic weight = 2.57000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.80291E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =100
 #
 # Total elastic cross section = 1.15772E-17 cm**2 = 4.13428E-01 a0**2
 # 1st transport cross section = 9.59783E-22 cm**2 = 3.42745E-05 a0**2
 # 2nd transport cross section = 2.45079E-21 cm**2 = 8.75193E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.62520E-12  5.80370E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.62519E-12  5.80367E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.62519E-12  5.80365E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.62518E-12  5.80362E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.62517E-12  5.80359E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.62516E-12  5.80356E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.62515E-12  5.80352E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.62514E-12  5.80348E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.62513E-12  5.80344E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.62511E-12  5.80338E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.62510E-12  5.80333E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.62508E-12  5.80327E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.62506E-12  5.80321E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.62504E-12  5.80314E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.62502E-12  5.80307E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.62500E-12  5.80299E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.62498E-12  5.80291E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.62496E-12  5.80282E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.62493E-12  5.80273E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.62490E-12  5.80264E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.62488E-12  5.80254E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.62485E-12  5.80243E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.62482E-12  5.80232E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.62478E-12  5.80221E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.62475E-12  5.80209E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.62472E-12  5.80197E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.62468E-12  5.80185E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.62465E-12  5.80172E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.62461E-12  5.80158E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.62457E-12  5.80144E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.62453E-12  5.80130E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.62449E-12  5.80115E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.62445E-12  5.80100E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.62440E-12  5.80084E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.62436E-12  5.80068E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.62431E-12  5.80052E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.62426E-12  5.80035E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.62421E-12  5.80017E+04  0.00000E+00  1.0E-05
