 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Gd,  Z =  64,  atomic weight = 1.57250E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.77538E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 64
 #
 # Total elastic cross section = 7.51883E-18 cm**2 = 2.68502E-01 a0**2
 # 1st transport cross section = 3.70330E-22 cm**2 = 1.32247E-05 a0**2
 # 2nd transport cross section = 1.01145E-21 cm**2 = 3.61194E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.52388E-12  5.44186E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.52386E-12  5.44182E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.52386E-12  5.44180E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.52385E-12  5.44177E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.52384E-12  5.44174E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.52383E-12  5.44170E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.52382E-12  5.44165E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.52381E-12  5.44161E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.52379E-12  5.44155E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.52377E-12  5.44150E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.52376E-12  5.44143E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.52374E-12  5.44136E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.52372E-12  5.44129E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.52369E-12  5.44121E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.52367E-12  5.44113E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.52365E-12  5.44104E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.52362E-12  5.44094E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.52359E-12  5.44084E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.52356E-12  5.44074E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.52353E-12  5.44063E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.52350E-12  5.44052E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.52347E-12  5.44040E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.52343E-12  5.44027E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.52340E-12  5.44014E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.52336E-12  5.44001E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.52332E-12  5.43987E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.52328E-12  5.43972E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.52324E-12  5.43957E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.52319E-12  5.43942E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.52315E-12  5.43926E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.52310E-12  5.43909E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.52305E-12  5.43892E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.52300E-12  5.43875E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.52295E-12  5.43857E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.52290E-12  5.43838E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.52285E-12  5.43819E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.52279E-12  5.43800E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.52274E-12  5.43779E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.52210E-12  5.43551E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.52131E-12  5.43271E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.52039E-12  5.42942E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.51933E-12  5.42561E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.51812E-12  5.42131E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.51678E-12  5.41650E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.51529E-12  5.41120E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.51367E-12  5.40540E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.51191E-12  5.39911E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.51001E-12  5.39233E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.50797E-12  5.38506E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.50580E-12  5.37731E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.50350E-12  5.36908E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.50106E-12  5.36037E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.49849E-12  5.35119E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.49578E-12  5.34155E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.49295E-12  5.33143E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.48999E-12  5.32086E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.48690E-12  5.30983E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.48369E-12  5.29836E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.48035E-12  5.28643E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.47689E-12  5.27407E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.47331E-12  5.26127E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.46960E-12  5.24805E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.46578E-12  5.23440E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.46184E-12  5.22033E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.45779E-12  5.20585E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.45362E-12  5.19097E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.44934E-12  5.17569E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.44495E-12  5.16001E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.44045E-12  5.14395E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.43585E-12  5.12751E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.43114E-12  5.11070E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.42633E-12  5.09352E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.42142E-12  5.07598E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.41641E-12  5.05809E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.36135E-12  4.86145E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.29884E-12  4.63824E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.23089E-12  4.39560E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.15961E-12  4.14105E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.08708E-12  3.88205E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.01495E-12  3.62444E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  9.44418E-13  3.37258E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  8.76527E-13  3.13014E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  8.12169E-13  2.90031E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  7.51883E-13  2.68502E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  6.95714E-13  2.48444E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  6.43750E-13  2.29887E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  5.96004E-13  2.12837E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  5.52436E-13  1.97279E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  5.12618E-13  1.83059E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.76309E-13  1.70093E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  4.43252E-13  1.58288E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  4.13255E-13  1.47576E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.85914E-13  1.37812E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.60985E-13  1.28910E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  3.38239E-13  1.20787E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  3.17457E-13  1.13366E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.98411E-13  1.06565E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.80929E-13  1.00322E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.64856E-13  9.45818E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.50022E-13  8.92846E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.36300E-13  8.43842E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  2.23596E-13  7.98475E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  2.11814E-13  7.56401E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  2.00842E-13  7.17219E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.90591E-13  6.80613E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.81027E-13  6.46460E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.72091E-13  6.14548E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.63715E-13  5.84638E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.55822E-13  5.56451E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.48414E-13  5.29997E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  9.37811E-14  3.34898E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  6.09068E-14  2.17502E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  4.16834E-14  1.48854E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.94928E-14  1.05321E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  2.13529E-14  7.62528E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.58298E-14  5.65293E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.19984E-14  4.28471E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  9.25660E-15  3.30559E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  7.22896E-15  2.58151E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  5.70513E-15  2.03734E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  4.55846E-15  1.62785E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  3.68221E-15  1.31494E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  3.00276E-15  1.07230E+02  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  2.46937E-15  8.81829E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  2.05055E-15  7.32266E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  1.71724E-15  6.13236E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  1.45151E-15  5.18343E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  1.23547E-15  4.41196E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.05915E-15  3.78229E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  9.13958E-16  3.26380E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  7.93510E-16  2.83368E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  6.92816E-16  2.47409E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  6.07736E-16  2.17026E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  5.35654E-16  1.91286E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  4.74289E-16  1.69372E+01  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  4.21601E-16  1.50557E+01  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  3.76128E-16  1.34318E+01  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  3.36711E-16  1.20242E+01  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  3.02368E-16  1.07978E+01  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  2.72252E-16  9.72231E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  2.45726E-16  8.77504E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  2.22346E-16  7.94012E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  2.01672E-16  7.20185E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  1.83318E-16  6.54642E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  1.66952E-16  5.96197E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  1.52368E-16  5.44115E+00  0.00000E+00  4.9E-06
  1.100E+00  9.21439E-05  1.07690E-16  3.84566E+00  0.00000E+00  3.6E-06
  1.200E+00  1.09658E-04  7.81638E-17  2.79128E+00  0.00000E+00  2.0E-06
  1.300E+00  1.28695E-04  5.80500E-17  2.07300E+00  0.00000E+00  4.1E-07
  1.400E+00  1.49255E-04  4.39696E-17  1.57018E+00  0.00000E+00  7.9E-07
  1.500E+00  1.71338E-04  3.39408E-17  1.21205E+00  0.00000E+00  1.4E-06
  1.600E+00  1.94942E-04  2.66254E-17  9.50811E-01  0.00000E+00  1.5E-06
  1.700E+00  2.20070E-04  2.11828E-17  7.56450E-01  0.00000E+00  1.2E-06
  1.800E+00  2.46720E-04  1.70624E-17  6.09309E-01  0.00000E+00  6.8E-07
  1.900E+00  2.74892E-04  1.39024E-17  4.96464E-01  0.00000E+00  1.1E-07
  2.000E+00  3.04586E-04  1.14452E-17  4.08714E-01  0.00000E+00  3.6E-07
  2.100E+00  3.35803E-04  9.51009E-18  3.39612E-01  0.00000E+00  6.3E-07
  2.200E+00  3.68542E-04  7.96589E-18  2.84467E-01  0.00000E+00  6.8E-07
  2.300E+00  4.02802E-04  6.72422E-18  2.40126E-01  0.00000E+00  5.5E-07
  2.400E+00  4.38585E-04  5.71629E-18  2.04132E-01  0.00000E+00  3.1E-07
  2.500E+00  4.75889E-04  4.89100E-18  1.74661E-01  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  4.20884E-18  1.50300E-01  0.00000E+00  2.1E-07
  2.700E+00  5.55063E-04  3.64181E-18  1.30052E-01  0.00000E+00  3.5E-07
  2.800E+00  5.96931E-04  3.16740E-18  1.13110E-01  0.00000E+00  3.7E-07
  2.900E+00  6.40321E-04  2.76795E-18  9.88451E-02  0.00000E+00  3.0E-07
  3.000E+00  6.85233E-04  2.42935E-18  8.67537E-02  0.00000E+00  1.7E-07
  3.100E+00  7.31665E-04  2.14096E-18  7.64552E-02  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  1.89421E-18  6.76436E-02  0.00000E+00  1.3E-07
  3.300E+00  8.29092E-04  1.68207E-18  6.00677E-02  0.00000E+00  2.2E-07
  3.400E+00  8.80086E-04  1.49877E-18  5.35220E-02  0.00000E+00  2.3E-07
  3.500E+00  9.32601E-04  1.33973E-18  4.78426E-02  0.00000E+00  1.8E-07
  3.600E+00  9.86636E-04  1.20128E-18  4.28985E-02  0.00000E+00  1.0E-07
  3.700E+00  1.04219E-03  1.08030E-18  3.85781E-02  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  9.74174E-19  3.47884E-02  0.00000E+00  1.0E-07
  3.900E+00  1.15786E-03  8.80742E-19  3.14519E-02  0.00000E+00  1.5E-07
  4.000E+00  1.21797E-03  7.98277E-19  2.85070E-02  0.00000E+00  1.5E-07
  4.100E+00  1.27961E-03  7.25266E-19  2.58997E-02  0.00000E+00  1.2E-07
  4.200E+00  1.34276E-03  6.60434E-19  2.35845E-02  0.00000E+00  1.0E-07
  4.300E+00  1.40743E-03  6.02674E-19  2.15219E-02  0.00000E+00  1.0E-07
  4.400E+00  1.47362E-03  5.51115E-19  1.96807E-02  0.00000E+00  1.0E-07
  4.500E+00  1.54133E-03  5.04972E-19  1.80329E-02  0.00000E+00  1.0E-07
  4.600E+00  1.61056E-03  4.63576E-19  1.65546E-02  0.00000E+00  1.1E-07
  4.700E+00  1.68131E-03  4.26336E-19  1.52247E-02  0.00000E+00  1.0E-07
  4.800E+00  1.75357E-03  3.92776E-19  1.40263E-02  0.00000E+00  1.0E-07
  4.900E+00  1.82735E-03  3.62468E-19  1.29440E-02  0.00000E+00  1.0E-07
  5.000E+00  1.90265E-03  3.35041E-19  1.19645E-02  0.00000E+00  1.0E-07
  5.100E+00  1.97947E-03  3.10165E-19  1.10762E-02  0.00000E+00  1.0E-07
  5.200E+00  2.05780E-03  2.87565E-19  1.02691E-02  0.00000E+00  1.0E-07
  5.300E+00  2.13765E-03  2.66997E-19  9.53463E-03  0.00000E+00  1.0E-07
  5.400E+00  2.21902E-03  2.48245E-19  8.86499E-03  0.00000E+00  1.0E-07
