 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ge,  Z =  32,  atomic weight = 7.26100E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.46392E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 32
 #
 # Total elastic cross section = 2.38458E-18 cm**2 = 8.51549E-02 a0**2
 # 1st transport cross section = 8.84571E-23 cm**2 = 3.15886E-06 a0**2
 # 2nd transport cross section = 2.49364E-22 cm**2 = 8.90495E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.62977E-13  1.29621E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.62975E-13  1.29621E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.62974E-13  1.29620E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.62973E-13  1.29620E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.62972E-13  1.29620E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.62970E-13  1.29619E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.62969E-13  1.29618E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.62967E-13  1.29618E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.62965E-13  1.29617E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.62962E-13  1.29616E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.62960E-13  1.29615E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.62957E-13  1.29614E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.62954E-13  1.29613E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.62951E-13  1.29612E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.62948E-13  1.29611E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.62944E-13  1.29610E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.62941E-13  1.29608E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.62937E-13  1.29607E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.62933E-13  1.29606E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.62928E-13  1.29604E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.62924E-13  1.29602E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.62919E-13  1.29601E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.62914E-13  1.29599E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.62909E-13  1.29597E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.62904E-13  1.29595E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.62898E-13  1.29593E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.62893E-13  1.29591E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.62887E-13  1.29589E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.62881E-13  1.29587E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.62874E-13  1.29585E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.62868E-13  1.29582E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.62861E-13  1.29580E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.62854E-13  1.29578E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.62847E-13  1.29575E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.62840E-13  1.29572E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.62832E-13  1.29570E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.62824E-13  1.29567E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.62817E-13  1.29564E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.62726E-13  1.29532E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.62616E-13  1.29493E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.62486E-13  1.29446E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.62336E-13  1.29393E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.62166E-13  1.29332E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.61976E-13  1.29264E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.61767E-13  1.29189E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.61537E-13  1.29107E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.61288E-13  1.29018E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.61019E-13  1.28922E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.60731E-13  1.28819E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.60423E-13  1.28710E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.60096E-13  1.28593E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.59750E-13  1.28469E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.59384E-13  1.28338E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.58999E-13  1.28201E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.58595E-13  1.28057E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.58172E-13  1.27906E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.57731E-13  1.27748E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.57270E-13  1.27584E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.56791E-13  1.27413E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.56294E-13  1.27235E+04  0.00000E+00  1.0E-05
