 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Hf,  Z =  72,  atomic weight = 1.78490E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.02451E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 72
 #
 # Total elastic cross section = 7.43606E-18 cm**2 = 2.65547E-01 a0**2
 # 1st transport cross section = 4.74440E-22 cm**2 = 1.69426E-05 a0**2
 # 2nd transport cross section = 1.28047E-21 cm**2 = 4.57264E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.12040E-12  4.00101E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.12039E-12  4.00099E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.12039E-12  4.00097E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.12038E-12  4.00096E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.12038E-12  4.00094E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.12037E-12  4.00092E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.12036E-12  4.00089E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.12036E-12  4.00087E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.12035E-12  4.00084E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.12034E-12  4.00081E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.12033E-12  4.00077E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.12032E-12  4.00073E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.12031E-12  4.00069E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.12030E-12  4.00065E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.12028E-12  4.00060E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.12027E-12  4.00056E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.12026E-12  4.00050E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.12024E-12  4.00045E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.12022E-12  4.00039E+04  0.00000E+00  1.0E-05
