 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Hg,  Z =  80,  atomic weight = 2.00590E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.26355E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 80
 #
 # Total elastic cross section = 8.02171E-18 cm**2 = 2.86460E-01 a0**2
 # 1st transport cross section = 5.94228E-22 cm**2 = 2.12203E-05 a0**2
 # 2nd transport cross section = 1.58219E-21 cm**2 = 5.65009E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.53839E-13  2.69201E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.53837E-13  2.69200E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.53836E-13  2.69200E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.53834E-13  2.69199E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.53832E-13  2.69198E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.53831E-13  2.69198E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.53828E-13  2.69197E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.53826E-13  2.69196E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.53823E-13  2.69195E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.53820E-13  2.69194E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.53817E-13  2.69193E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.53813E-13  2.69192E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.53809E-13  2.69190E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.53805E-13  2.69189E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.53801E-13  2.69187E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.53796E-13  2.69186E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.53791E-13  2.69184E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.53786E-13  2.69182E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.53781E-13  2.69180E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.53775E-13  2.69178E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.53769E-13  2.69176E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.53763E-13  2.69174E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.53757E-13  2.69171E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.53750E-13  2.69169E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.53743E-13  2.69167E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.53736E-13  2.69164E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.53728E-13  2.69161E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.53720E-13  2.69158E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.53712E-13  2.69156E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.53704E-13  2.69153E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.53696E-13  2.69150E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.53687E-13  2.69146E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.53678E-13  2.69143E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.53668E-13  2.69140E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.53659E-13  2.69136E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.53649E-13  2.69133E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.53638E-13  2.69129E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.53628E-13  2.69125E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.53509E-13  2.69083E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.53364E-13  2.69031E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.53192E-13  2.68970E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.52994E-13  2.68899E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.52770E-13  2.68819E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.52519E-13  2.68729E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.52242E-13  2.68630E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.51939E-13  2.68522E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.51609E-13  2.68405E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.51254E-13  2.68278E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.50873E-13  2.68141E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.50465E-13  2.67996E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.50032E-13  2.67841E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.49573E-13  2.67677E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.49088E-13  2.67504E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.48578E-13  2.67322E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.48042E-13  2.67131E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.47481E-13  2.66930E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.46894E-13  2.66721E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.46282E-13  2.66502E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.45646E-13  2.66275E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.44984E-13  2.66039E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.44297E-13  2.65793E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.43586E-13  2.65539E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.42850E-13  2.65276E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.42089E-13  2.65005E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.41304E-13  2.64725E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.40495E-13  2.64436E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.39663E-13  2.64138E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.38806E-13  2.63832E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.37925E-13  2.63518E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.37021E-13  2.63195E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.36093E-13  2.62864E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.35143E-13  2.62524E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.34169E-13  2.62176E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  7.33172E-13  2.61820E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  7.21986E-13  2.57826E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  7.08645E-13  2.53062E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  6.93511E-13  2.47657E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  6.76824E-13  2.41698E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  6.58692E-13  2.35223E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  6.39384E-13  2.28328E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  6.19267E-13  2.21144E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  5.98596E-13  2.13763E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  5.77457E-13  2.06214E+04  0.00000E+00  1.0E-05
