 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ho,  Z =  67,  atomic weight = 1.64930E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.86792E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 67
 #
 # Total elastic cross section = 7.20109E-18 cm**2 = 2.57156E-01 a0**2
 # 1st transport cross section = 4.07556E-22 cm**2 = 1.45541E-05 a0**2
 # 2nd transport cross section = 1.10836E-21 cm**2 = 3.95802E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.33409E-12  4.76411E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.33408E-12  4.76408E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.33407E-12  4.76406E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.33406E-12  4.76403E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.33406E-12  4.76400E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.33405E-12  4.76396E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.33403E-12  4.76392E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.33402E-12  4.76388E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.33401E-12  4.76383E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.33399E-12  4.76377E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.33398E-12  4.76371E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.33396E-12  4.76365E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.33394E-12  4.76358E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.33392E-12  4.76351E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.33390E-12  4.76343E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.33387E-12  4.76334E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.33385E-12  4.76326E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.33382E-12  4.76316E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.33379E-12  4.76307E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.33377E-12  4.76296E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.33374E-12  4.76286E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.33370E-12  4.76274E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.33367E-12  4.76263E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.33364E-12  4.76251E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.33360E-12  4.76238E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.33357E-12  4.76225E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.33353E-12  4.76211E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.33349E-12  4.76197E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.33345E-12  4.76183E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.33341E-12  4.76168E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.33336E-12  4.76152E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.33332E-12  4.76136E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.33327E-12  4.76120E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.33322E-12  4.76103E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.33318E-12  4.76086E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.33313E-12  4.76068E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.33307E-12  4.76049E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.33302E-12  4.76031E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.33242E-12  4.75816E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.33169E-12  4.75555E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.33082E-12  4.75246E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.32983E-12  4.74889E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.32870E-12  4.74486E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.32744E-12  4.74036E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.32605E-12  4.73540E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.32453E-12  4.72997E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.32288E-12  4.72409E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.32110E-12  4.71774E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.31920E-12  4.71094E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.31717E-12  4.70369E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.31501E-12  4.69599E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.31273E-12  4.68785E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.31033E-12  4.67927E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.30781E-12  4.67026E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.30516E-12  4.66081E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.30239E-12  4.65094E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.29951E-12  4.64064E+04  0.00000E+00  1.0E-05
