 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: In,  Z =  49,  atomic weight = 1.14818E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.20060E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 49
 #
 # Total elastic cross section = 4.89843E-18 cm**2 = 1.74926E-01 a0**2
 # 1st transport cross section = 2.11577E-22 cm**2 = 7.55554E-06 a0**2
 # 2nd transport cross section = 5.87964E-22 cm**2 = 2.09966E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.35117E-13  2.62515E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.35114E-13  2.62514E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.35112E-13  2.62513E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.35109E-13  2.62512E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.35106E-13  2.62511E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.35103E-13  2.62510E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.35099E-13  2.62509E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.35094E-13  2.62507E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.35089E-13  2.62505E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.35084E-13  2.62503E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.35078E-13  2.62501E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.35072E-13  2.62499E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.35065E-13  2.62496E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.35058E-13  2.62494E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.35050E-13  2.62491E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.35042E-13  2.62488E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.35033E-13  2.62485E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.35024E-13  2.62482E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.35014E-13  2.62478E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.35004E-13  2.62475E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.34994E-13  2.62471E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.34983E-13  2.62467E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.34971E-13  2.62463E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.34959E-13  2.62459E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.34947E-13  2.62454E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.34934E-13  2.62450E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.34921E-13  2.62445E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.34907E-13  2.62440E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.34892E-13  2.62435E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.34878E-13  2.62430E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.34862E-13  2.62424E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.34847E-13  2.62419E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.34830E-13  2.62413E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.34814E-13  2.62407E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.34797E-13  2.62401E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.34779E-13  2.62394E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.34761E-13  2.62388E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.34743E-13  2.62381E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.34531E-13  2.62306E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.34274E-13  2.62214E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.33969E-13  2.62105E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.33618E-13  2.61980E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.33220E-13  2.61838E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.32776E-13  2.61679E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.32285E-13  2.61504E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.31749E-13  2.61312E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.31166E-13  2.61104E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.30538E-13  2.60880E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.29865E-13  2.60640E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.29146E-13  2.60383E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.28383E-13  2.60110E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.27574E-13  2.59822E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.26722E-13  2.59517E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.25825E-13  2.59197E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.24884E-13  2.58861E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.23899E-13  2.58509E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.22872E-13  2.58142E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.21801E-13  2.57760E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.20689E-13  2.57363E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.19534E-13  2.56950E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.18337E-13  2.56523E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.17099E-13  2.56081E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.15819E-13  2.55624E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.14500E-13  2.55152E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.13140E-13  2.54667E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.11741E-13  2.54167E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.10302E-13  2.53653E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.08824E-13  2.53126E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.07309E-13  2.52585E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.05755E-13  2.52030E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.04164E-13  2.51462E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.02537E-13  2.50880E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.00873E-13  2.50286E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  6.99173E-13  2.49679E+04  0.00000E+00  1.0E-05
