 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: La,  Z =  57,  atomic weight = 1.38905E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.54145E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 57
 #
 # Total elastic cross section = 7.65228E-18 cm**2 = 2.73268E-01 a0**2
 # 1st transport cross section = 2.90642E-22 cm**2 = 1.03790E-05 a0**2
 # 2nd transport cross section = 8.00912E-22 cm**2 = 2.86011E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.08705E-12  7.45299E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.08703E-12  7.45293E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.08702E-12  7.45289E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.08701E-12  7.45284E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.08699E-12  7.45279E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.08697E-12  7.45272E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.08695E-12  7.45265E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.08693E-12  7.45257E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.08691E-12  7.45248E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.08688E-12  7.45239E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.08685E-12  7.45228E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.08682E-12  7.45217E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.08678E-12  7.45204E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.08675E-12  7.45191E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.08671E-12  7.45177E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.08667E-12  7.45163E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.08662E-12  7.45147E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.08658E-12  7.45130E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.08653E-12  7.45113E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.08648E-12  7.45095E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.08643E-12  7.45076E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.08637E-12  7.45056E+04  0.00000E+00  1.0E-05
