 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Lr,  Z = 103,  atomic weight = 2.62000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.84675E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =103
 #
 # Total elastic cross section = 1.17900E-17 cm**2 = 4.21028E-01 a0**2
 # 1st transport cross section = 1.02168E-21 cm**2 = 3.64847E-05 a0**2
 # 2nd transport cross section = 2.58991E-21 cm**2 = 9.24874E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.57639E-12  5.62939E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.57638E-12  5.62936E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.57638E-12  5.62934E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.57637E-12  5.62932E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.57636E-12  5.62930E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.57636E-12  5.62927E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.57635E-12  5.62924E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.57634E-12  5.62920E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.57633E-12  5.62916E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.57631E-12  5.62912E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.57630E-12  5.62907E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.57629E-12  5.62902E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.57627E-12  5.62896E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.57625E-12  5.62890E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.57624E-12  5.62884E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.57622E-12  5.62877E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.57620E-12  5.62870E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.57618E-12  5.62862E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.57615E-12  5.62855E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.57613E-12  5.62846E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.57611E-12  5.62838E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.57608E-12  5.62829E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.57605E-12  5.62819E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.57603E-12  5.62809E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.57600E-12  5.62799E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.57597E-12  5.62789E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.57594E-12  5.62778E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.57591E-12  5.62766E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.57587E-12  5.62754E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.57584E-12  5.62742E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.57580E-12  5.62730E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.57577E-12  5.62717E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.57573E-12  5.62704E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.57569E-12  5.62690E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.57565E-12  5.62676E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.57561E-12  5.62661E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.57557E-12  5.62647E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.57553E-12  5.62631E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.57504E-12  5.62458E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.57445E-12  5.62247E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.57375E-12  5.61997E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.57294E-12  5.61708E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.57203E-12  5.61382E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.57101E-12  5.61018E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.56988E-12  5.60616E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.56865E-12  5.60176E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.56731E-12  5.59698E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.56587E-12  5.59183E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.56433E-12  5.58631E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.56268E-12  5.58042E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.56093E-12  5.57416E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.55907E-12  5.56754E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.55711E-12  5.56056E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.55506E-12  5.55321E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.55290E-12  5.54550E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.55064E-12  5.53744E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.54829E-12  5.52903E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.54583E-12  5.52027E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.54328E-12  5.51117E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.54064E-12  5.50172E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.53790E-12  5.49193E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.53506E-12  5.48181E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.53213E-12  5.47135E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.52911E-12  5.46057E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.52600E-12  5.44946E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.52280E-12  5.43803E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.51951E-12  5.42629E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.51614E-12  5.41423E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.51267E-12  5.40186E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.50913E-12  5.38919E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.50549E-12  5.37622E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.50178E-12  5.36295E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.49798E-12  5.34939E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.49410E-12  5.33555E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.45121E-12  5.18237E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.40177E-12  5.00581E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.34727E-12  4.81118E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.28914E-12  4.60362E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.22873E-12  4.38788E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.16728E-12  4.16844E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.10589E-12  3.94922E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.04547E-12  3.73343E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  9.86684E-13  3.52351E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  9.30071E-13  3.32134E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  8.76044E-13  3.12841E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  8.24845E-13  2.94558E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  7.76592E-13  2.77326E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  7.31274E-13  2.61143E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  6.88912E-13  2.46015E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  6.49422E-13  2.31913E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  6.12685E-13  2.18794E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  5.78461E-13  2.06572E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  5.46673E-13  1.95221E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  5.17161E-13  1.84682E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  4.89763E-13  1.74897E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  4.64221E-13  1.65776E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  4.40449E-13  1.57287E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  4.18323E-13  1.49386E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  3.97709E-13  1.42025E+04  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  3.78407E-13  1.35132E+04  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  3.60327E-13  1.28675E+04  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  3.43412E-13  1.22635E+04  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  3.27566E-13  1.16976E+04  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  3.12653E-13  1.11650E+04  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  2.98577E-13  1.06624E+04  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  2.85334E-13  1.01895E+04  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  2.72861E-13  9.74403E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  2.61073E-13  9.32310E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  2.49866E-13  8.92286E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  2.39272E-13  8.54455E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.58336E-13  5.65426E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.05999E-13  3.78530E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  7.40367E-14  2.64390E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  5.29345E-14  1.89033E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  3.83862E-14  1.37079E+03  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  2.84164E-14  1.01477E+03  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  2.15022E-14  7.67859E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.65782E-14  5.92018E+02  0.00000E+00  1.0E-05
