 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Mg,  Z =  12,  atomic weight = 2.43050E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.09943E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 12
 #
 # Total elastic cross section = 6.18271E-19 cm**2 = 2.20789E-02 a0**2
 # 1st transport cross section = 1.25399E-23 cm**2 = 4.47807E-07 a0**2
 # 2nd transport cross section = 3.57918E-23 cm**2 = 1.27815E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.83887E-13  6.56674E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.83886E-13  6.56669E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.83885E-13  6.56666E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.83884E-13  6.56663E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.83883E-13  6.56659E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.83882E-13  6.56655E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.83881E-13  6.56649E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.83879E-13  6.56644E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.83877E-13  6.56638E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.83875E-13  6.56631E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.83873E-13  6.56623E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.83871E-13  6.56615E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.83869E-13  6.56607E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.83866E-13  6.56598E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.83863E-13  6.56588E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.83860E-13  6.56577E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.83857E-13  6.56566E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.83854E-13  6.56555E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.83851E-13  6.56543E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.83847E-13  6.56530E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.83843E-13  6.56517E+03  0.00000E+00  1.0E-05
