 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Mn,  Z =  25,  atomic weight = 5.49380E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.06763E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 25
 #
 # Total elastic cross section = 1.98108E-18 cm**2 = 7.07457E-02 a0**2
 # 1st transport cross section = 5.41265E-23 cm**2 = 1.93289E-06 a0**2
 # 2nd transport cross section = 1.53354E-22 cm**2 = 5.47637E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.79173E-13  1.35405E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.79171E-13  1.35404E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.79170E-13  1.35404E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.79168E-13  1.35403E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.79167E-13  1.35403E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.79165E-13  1.35402E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.79162E-13  1.35401E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.79160E-13  1.35400E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.79157E-13  1.35399E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.79154E-13  1.35398E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.79151E-13  1.35397E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.79147E-13  1.35396E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.79143E-13  1.35395E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.79139E-13  1.35393E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.79135E-13  1.35391E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.79130E-13  1.35390E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.79125E-13  1.35388E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.79120E-13  1.35386E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.79115E-13  1.35384E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.79109E-13  1.35382E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.79103E-13  1.35380E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.79097E-13  1.35378E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.79090E-13  1.35376E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.79083E-13  1.35373E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.79076E-13  1.35371E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.79069E-13  1.35368E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.79062E-13  1.35365E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.79054E-13  1.35363E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.79046E-13  1.35360E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.79037E-13  1.35357E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.79029E-13  1.35354E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.79020E-13  1.35350E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.79011E-13  1.35347E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.79001E-13  1.35344E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.78991E-13  1.35340E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.78981E-13  1.35337E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.78971E-13  1.35333E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.78961E-13  1.35329E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.78841E-13  1.35287E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.78695E-13  1.35235E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.78523E-13  1.35173E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.78324E-13  1.35102E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.78099E-13  1.35022E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.77848E-13  1.34932E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.77570E-13  1.34833E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.77267E-13  1.34724E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.76937E-13  1.34607E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.76582E-13  1.34480E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.76201E-13  1.34344E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.75794E-13  1.34199E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.75362E-13  1.34044E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.74904E-13  1.33881E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.74422E-13  1.33708E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.73914E-13  1.33527E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.73381E-13  1.33337E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.72824E-13  1.33138E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.72242E-13  1.32930E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.71636E-13  1.32714E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.71006E-13  1.32489E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.70352E-13  1.32255E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.69674E-13  1.32013E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.68972E-13  1.31762E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.68248E-13  1.31504E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.67500E-13  1.31237E+04  0.00000E+00  1.0E-05
