 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Mo,  Z =  42,  atomic weight = 9.59400E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.89836E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 42
 #
 # Total elastic cross section = 4.12278E-18 cm**2 = 1.47227E-01 a0**2
 # 1st transport cross section = 1.53994E-22 cm**2 = 5.49923E-06 a0**2
 # 2nd transport cross section = 4.30737E-22 cm**2 = 1.53819E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.01913E-13  2.50658E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.01909E-13  2.50656E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.01907E-13  2.50656E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.01904E-13  2.50655E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.01901E-13  2.50654E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.01898E-13  2.50652E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.01894E-13  2.50651E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.01890E-13  2.50649E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.01885E-13  2.50648E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.01879E-13  2.50646E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.01874E-13  2.50644E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.01867E-13  2.50641E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.01861E-13  2.50639E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.01853E-13  2.50636E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.01846E-13  2.50634E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.01838E-13  2.50631E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.01829E-13  2.50628E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.01820E-13  2.50624E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.01810E-13  2.50621E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.01800E-13  2.50617E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.01790E-13  2.50614E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.01779E-13  2.50610E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.01768E-13  2.50606E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.01756E-13  2.50602E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.01743E-13  2.50597E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.01731E-13  2.50593E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.01717E-13  2.50588E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.01704E-13  2.50583E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.01689E-13  2.50578E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.01675E-13  2.50573E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.01660E-13  2.50567E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.01644E-13  2.50562E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.01628E-13  2.50556E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.01611E-13  2.50550E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.01595E-13  2.50544E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.01577E-13  2.50538E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.01559E-13  2.50531E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.01541E-13  2.50525E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.01331E-13  2.50450E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.01076E-13  2.50359E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.00774E-13  2.50251E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.00425E-13  2.50126E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.00031E-13  2.49986E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  6.99590E-13  2.49828E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  6.99104E-13  2.49655E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  6.98572E-13  2.49465E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  6.97995E-13  2.49258E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  6.97372E-13  2.49036E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  6.96705E-13  2.48798E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  6.95992E-13  2.48543E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  6.95235E-13  2.48273E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  6.94434E-13  2.47987E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  6.93588E-13  2.47685E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  6.92699E-13  2.47367E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  6.91766E-13  2.47034E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  6.90791E-13  2.46686E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  6.89772E-13  2.46322E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  6.88711E-13  2.45943E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  6.87608E-13  2.45549E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  6.86463E-13  2.45141E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  6.85277E-13  2.44717E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  6.84050E-13  2.44279E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  6.82783E-13  2.43826E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  6.81475E-13  2.43359E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  6.80128E-13  2.42878E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  6.78741E-13  2.42383E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  6.77316E-13  2.41874E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  6.75852E-13  2.41351E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  6.74350E-13  2.40815E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  6.72811E-13  2.40265E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  6.71235E-13  2.39702E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  6.69623E-13  2.39127E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  6.67975E-13  2.38538E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  6.66291E-13  2.37937E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  6.47631E-13  2.31273E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  6.26023E-13  2.23557E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  6.02120E-13  2.15021E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  5.76522E-13  2.05880E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  5.49763E-13  1.96324E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  5.22383E-13  1.86547E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  4.94891E-13  1.76729E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  4.67687E-13  1.67014E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  4.41053E-13  1.57503E+04  0.00000E+00  1.0E-05
