 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Na,  Z =  11,  atomic weight = 2.29898E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.04249E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 11
 #
 # Total elastic cross section = 4.73864E-19 cm**2 = 1.69220E-02 a0**2
 # 1st transport cross section = 1.05572E-23 cm**2 = 3.77003E-07 a0**2
 # 2nd transport cross section = 3.01493E-23 cm**2 = 1.07665E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.54863E-13  5.53027E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.54862E-13  5.53021E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.54861E-13  5.53017E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.54859E-13  5.53013E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.54858E-13  5.53008E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.54857E-13  5.53003E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.54855E-13  5.52996E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.54853E-13  5.52989E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.54851E-13  5.52981E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.54848E-13  5.52973E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.54846E-13  5.52964E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.54843E-13  5.52953E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.54840E-13  5.52943E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.54837E-13  5.52931E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.54833E-13  5.52919E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.54829E-13  5.52906E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.54826E-13  5.52892E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.54822E-13  5.52878E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.54817E-13  5.52863E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.54813E-13  5.52847E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.54808E-13  5.52830E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.54803E-13  5.52812E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.54798E-13  5.52794E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.54793E-13  5.52775E+03  0.00000E+00  1.0E-05
