 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Nb,  Z =  41,  atomic weight = 9.29064E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.84617E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 41
 #
 # Total elastic cross section = 4.05043E-18 cm**2 = 1.44643E-01 a0**2
 # 1st transport cross section = 1.46566E-22 cm**2 = 5.23398E-06 a0**2
 # 2nd transport cross section = 4.10310E-22 cm**2 = 1.46524E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.62879E-13  2.72429E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.62874E-13  2.72427E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.62872E-13  2.72427E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.62869E-13  2.72425E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.62865E-13  2.72424E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.62861E-13  2.72423E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.62856E-13  2.72421E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.62851E-13  2.72419E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.62845E-13  2.72417E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.62839E-13  2.72415E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.62832E-13  2.72412E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.62824E-13  2.72409E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.62816E-13  2.72406E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.62807E-13  2.72403E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.62798E-13  2.72400E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.62788E-13  2.72397E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.62778E-13  2.72393E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.62767E-13  2.72389E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.62755E-13  2.72385E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.62743E-13  2.72381E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.62730E-13  2.72376E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.62717E-13  2.72371E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.62703E-13  2.72366E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.62689E-13  2.72361E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.62674E-13  2.72356E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.62659E-13  2.72350E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.62643E-13  2.72345E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.62626E-13  2.72339E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.62609E-13  2.72333E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.62591E-13  2.72326E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.62573E-13  2.72320E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.62554E-13  2.72313E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.62535E-13  2.72306E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.62515E-13  2.72299E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.62494E-13  2.72292E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.62473E-13  2.72284E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.62452E-13  2.72276E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.62429E-13  2.72269E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.62177E-13  2.72178E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.61868E-13  2.72068E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.61503E-13  2.71938E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.61082E-13  2.71787E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.60606E-13  2.71617E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.60074E-13  2.71427E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.59487E-13  2.71218E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.58844E-13  2.70988E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.58148E-13  2.70739E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.57396E-13  2.70471E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.56590E-13  2.70183E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.55730E-13  2.69876E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.54817E-13  2.69550E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.53850E-13  2.69205E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.52831E-13  2.68841E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.51759E-13  2.68458E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.50634E-13  2.68056E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.49458E-13  2.67636E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.48231E-13  2.67198E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.46952E-13  2.66741E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.45623E-13  2.66267E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.44245E-13  2.65775E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.42816E-13  2.65265E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.41339E-13  2.64737E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.39814E-13  2.64192E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.38241E-13  2.63631E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.36620E-13  2.63052E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.34953E-13  2.62456E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.33239E-13  2.61844E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.31480E-13  2.61216E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.29676E-13  2.60572E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.27828E-13  2.59912E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.25936E-13  2.59236E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.24001E-13  2.58545E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.22023E-13  2.57839E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  7.20004E-13  2.57118E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  6.97672E-13  2.49143E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  6.71946E-13  2.39956E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  6.43616E-13  2.29839E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  6.13438E-13  2.19063E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  5.82110E-13  2.07875E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  5.50288E-13  1.96511E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  5.18555E-13  1.85179E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  4.87378E-13  1.74046E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  4.57108E-13  1.63236E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  4.28009E-13  1.52845E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  4.00302E-13  1.42951E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  3.74108E-13  1.33596E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  3.49477E-13  1.24801E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  3.26391E-13  1.16556E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  3.04867E-13  1.08870E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  2.84857E-13  1.01724E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  2.66297E-13  9.50962E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  2.49047E-13  8.89363E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  2.33081E-13  8.32348E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  2.18312E-13  7.79608E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  2.04655E-13  7.30837E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  1.91976E-13  6.85558E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  1.80232E-13  6.43620E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  1.69359E-13  6.04792E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  1.59286E-13  5.68822E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  1.49914E-13  5.35354E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  1.41197E-13  5.04224E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  1.33100E-13  4.75309E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  1.25572E-13  4.48425E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.18547E-13  4.23338E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.11977E-13  3.99878E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.05852E-13  3.78005E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.00136E-13  3.57591E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  9.47872E-14  3.38491E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  8.97595E-14  3.20537E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  8.50555E-14  3.03739E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  5.10957E-14  1.82466E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  3.17507E-14  1.13384E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  2.09048E-14  7.46524E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  1.43220E-14  5.11449E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  1.01422E-14  3.62185E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  7.42932E-15  2.65306E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  5.60754E-15  2.00249E+02  0.00000E+00  1.0E-05
