 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ne,  Z =  10,  atomic weight = 2.01797E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.91310E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 10
 #
 # Total elastic cross section = 2.97572E-19 cm**2 = 1.06265E-02 a0**2
 # 1st transport cross section = 8.75299E-24 cm**2 = 3.12575E-07 a0**2
 # 2nd transport cross section = 2.50119E-23 cm**2 = 8.93192E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.84631E-14  6.59329E+02  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.84631E-14  6.59328E+02  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.84630E-14  6.59327E+02  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.84630E-14  6.59327E+02  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.84630E-14  6.59326E+02  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.84630E-14  6.59325E+02  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.84630E-14  6.59324E+02  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.84629E-14  6.59324E+02  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.84629E-14  6.59323E+02  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.84629E-14  6.59321E+02  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.84628E-14  6.59320E+02  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.84628E-14  6.59319E+02  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.84628E-14  6.59318E+02  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.84627E-14  6.59316E+02  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.84627E-14  6.59315E+02  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.84626E-14  6.59313E+02  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.84626E-14  6.59311E+02  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.84625E-14  6.59309E+02  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.84625E-14  6.59308E+02  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.84624E-14  6.59306E+02  0.00000E+00  1.0E-05
