 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pa,  Z =  91,  atomic weight = 2.31036E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.56564E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 91
 #
 # Total elastic cross section = 1.18824E-17 cm**2 = 4.24330E-01 a0**2
 # 1st transport cross section = 7.84838E-22 cm**2 = 2.80271E-05 a0**2
 # 2nd transport cross section = 2.04522E-21 cm**2 = 7.30363E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.44928E-12  8.74654E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.44926E-12  8.74648E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.44925E-12  8.74645E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.44924E-12  8.74640E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.44923E-12  8.74635E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.44921E-12  8.74629E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.44919E-12  8.74622E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.44917E-12  8.74615E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.44915E-12  8.74606E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.44912E-12  8.74597E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.44909E-12  8.74587E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.44906E-12  8.74576E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.44903E-12  8.74565E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.44900E-12  8.74552E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.44896E-12  8.74539E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.44892E-12  8.74525E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.44888E-12  8.74510E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.44883E-12  8.74495E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.44879E-12  8.74478E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.44874E-12  8.74461E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.44869E-12  8.74443E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.44864E-12  8.74424E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.44858E-12  8.74405E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.44853E-12  8.74384E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.44847E-12  8.74363E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.44840E-12  8.74341E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.44834E-12  8.74318E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.44827E-12  8.74295E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.44821E-12  8.74270E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.44813E-12  8.74245E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.44806E-12  8.74219E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.44799E-12  8.74192E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.44791E-12  8.74164E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.44783E-12  8.74136E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.44775E-12  8.74107E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.44766E-12  8.74077E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.44758E-12  8.74046E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.44749E-12  8.74014E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.44648E-12  8.73654E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.44525E-12  8.73214E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.44379E-12  8.72694E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.44211E-12  8.72095E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.44022E-12  8.71417E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.43810E-12  8.70660E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.43576E-12  8.69825E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.43320E-12  8.68911E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.43042E-12  8.67920E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.42743E-12  8.66852E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.42423E-12  8.65707E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.42081E-12  8.64485E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.41717E-12  8.63188E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.41333E-12  8.61816E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.40928E-12  8.60370E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.40502E-12  8.58849E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.40056E-12  8.57255E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.39589E-12  8.55589E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.39103E-12  8.53852E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.38596E-12  8.52043E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.38070E-12  8.50164E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.37524E-12  8.48215E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.36960E-12  8.46198E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.36376E-12  8.44113E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.35773E-12  8.41962E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.35152E-12  8.39744E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.34513E-12  8.37462E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.33856E-12  8.35115E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.33181E-12  8.32706E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.32489E-12  8.30234E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.31780E-12  8.27702E+04  0.00000E+00  1.0E-05
