 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pb,  Z =  82,  atomic weight = 2.07200E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.33160E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 82
 #
 # Total elastic cross section = 8.74693E-18 cm**2 = 3.12359E-01 a0**2
 # 1st transport cross section = 6.26676E-22 cm**2 = 2.23790E-05 a0**2
 # 2nd transport cross section = 1.66251E-21 cm**2 = 5.93694E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.09683E-12  3.91686E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.09683E-12  3.91685E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.09683E-12  3.91684E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.09682E-12  3.91682E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.09682E-12  3.91681E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.09681E-12  3.91679E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.09681E-12  3.91678E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.09680E-12  3.91676E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.09680E-12  3.91673E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.09679E-12  3.91671E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.09678E-12  3.91668E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.09677E-12  3.91665E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.09677E-12  3.91662E+04  0.00000E+00  1.0E-05
