 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Pd,  Z =  46,  atomic weight = 1.06420E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.07059E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 46
 #
 # Total elastic cross section = 4.11868E-18 cm**2 = 1.47081E-01 a0**2
 # 1st transport cross section = 1.85606E-22 cm**2 = 6.62812E-06 a0**2
 # 2nd transport cross section = 5.17276E-22 cm**2 = 1.84723E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.77241E-13  1.34715E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.77240E-13  1.34715E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.77239E-13  1.34715E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.77239E-13  1.34714E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.77238E-13  1.34714E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.77237E-13  1.34714E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.77237E-13  1.34714E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.77236E-13  1.34713E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.77234E-13  1.34713E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.77233E-13  1.34712E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.77232E-13  1.34712E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.77231E-13  1.34712E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.77229E-13  1.34711E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.77228E-13  1.34710E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.77226E-13  1.34710E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.77224E-13  1.34709E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.77222E-13  1.34709E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.77220E-13  1.34708E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.77218E-13  1.34707E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.77216E-13  1.34706E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.77214E-13  1.34705E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.77211E-13  1.34705E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.77209E-13  1.34704E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.77206E-13  1.34703E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.77204E-13  1.34702E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.77201E-13  1.34701E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.77198E-13  1.34700E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.77195E-13  1.34699E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.77192E-13  1.34698E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.77189E-13  1.34696E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.77185E-13  1.34695E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.77182E-13  1.34694E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.77178E-13  1.34693E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.77175E-13  1.34692E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.77171E-13  1.34690E+04  0.00000E+00  1.0E-05
