 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Po,  Z =  84,  atomic weight = 2.08982E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.34971E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 84
 #
 # Total elastic cross section = 9.29527E-18 cm**2 = 3.31940E-01 a0**2
 # 1st transport cross section = 6.60187E-22 cm**2 = 2.35757E-05 a0**2
 # 2nd transport cross section = 1.74475E-21 cm**2 = 6.23062E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.15266E-12  4.11622E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.15265E-12  4.11621E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.15265E-12  4.11620E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.15265E-12  4.11619E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.15265E-12  4.11617E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.15264E-12  4.11616E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.15264E-12  4.11615E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.15263E-12  4.11613E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.15263E-12  4.11611E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.15262E-12  4.11609E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.15262E-12  4.11606E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.15261E-12  4.11604E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.15260E-12  4.11601E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.15259E-12  4.11598E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.15258E-12  4.11595E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.15258E-12  4.11592E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.15257E-12  4.11589E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.15256E-12  4.11585E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.15254E-12  4.11581E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.15253E-12  4.11577E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.15252E-12  4.11573E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.15251E-12  4.11569E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.15250E-12  4.11564E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.15248E-12  4.11560E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.15247E-12  4.11555E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.15246E-12  4.11550E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.15244E-12  4.11544E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.15243E-12  4.11539E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.15241E-12  4.11533E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.15239E-12  4.11527E+04  0.00000E+00  1.0E-05
