 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ra,  Z =  88,  atomic weight = 2.26025E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.51783E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 88
 #
 # Total elastic cross section = 1.13001E-17 cm**2 = 4.03532E-01 a0**2
 # 1st transport cross section = 7.29985E-22 cm**2 = 2.60682E-05 a0**2
 # 2nd transport cross section = 1.91424E-21 cm**2 = 6.83587E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.69613E-12  9.62807E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.69611E-12  9.62798E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.69609E-12  9.62792E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.69608E-12  9.62786E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.69605E-12  9.62778E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.69603E-12  9.62770E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.69600E-12  9.62760E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.69597E-12  9.62749E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.69594E-12  9.62737E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.69590E-12  9.62723E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.69586E-12  9.62709E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.69582E-12  9.62693E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.69577E-12  9.62676E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.69572E-12  9.62658E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.69566E-12  9.62639E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.69561E-12  9.62619E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.69555E-12  9.62598E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.69548E-12  9.62575E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.69542E-12  9.62551E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.69535E-12  9.62526E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.69527E-12  9.62500E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.69520E-12  9.62473E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.69512E-12  9.62444E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.69504E-12  9.62415E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.69495E-12  9.62384E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.69486E-12  9.62352E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.69477E-12  9.62319E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.69467E-12  9.62285E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.69457E-12  9.62249E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.69447E-12  9.62213E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.69436E-12  9.62175E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.69425E-12  9.62136E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.69414E-12  9.62096E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.69403E-12  9.62055E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.69391E-12  9.62012E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.69379E-12  9.61969E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.69366E-12  9.61924E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.69353E-12  9.61878E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.69207E-12  9.61356E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.69029E-12  9.60719E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.68818E-12  9.59966E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.68575E-12  9.59099E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.68300E-12  9.58118E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.67994E-12  9.57023E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.67655E-12  9.55815E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.67286E-12  9.54495E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.66885E-12  9.53064E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.66453E-12  9.51522E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.65991E-12  9.49871E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.65498E-12  9.48111E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.64975E-12  9.46243E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.64422E-12  9.44269E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.63840E-12  9.42190E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.63228E-12  9.40006E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.62588E-12  9.37719E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.61919E-12  9.35331E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.61223E-12  9.32843E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.60498E-12  9.30256E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.59746E-12  9.27571E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.58968E-12  9.24791E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.58163E-12  9.21916E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.57332E-12  9.18949E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.56475E-12  9.15890E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.55594E-12  9.12742E+04  0.00000E+00  1.0E-05
