 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Rh,  Z =  45,  atomic weight = 1.02906E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.01414E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 45
 #
 # Total elastic cross section = 4.27858E-18 cm**2 = 1.52791E-01 a0**2
 # 1st transport cross section = 1.77439E-22 cm**2 = 6.33648E-06 a0**2
 # 2nd transport cross section = 4.94985E-22 cm**2 = 1.76762E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.63029E-13  2.01061E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.63026E-13  2.01060E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.63025E-13  2.01060E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.63023E-13  2.01059E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.63022E-13  2.01059E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.63019E-13  2.01058E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.63017E-13  2.01057E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.63014E-13  2.01056E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.63011E-13  2.01055E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.63008E-13  2.01054E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.63004E-13  2.01052E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.63000E-13  2.01051E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.62996E-13  2.01049E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.62991E-13  2.01048E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.62986E-13  2.01046E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  5.62981E-13  2.01044E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  5.62976E-13  2.01042E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  5.62970E-13  2.01040E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  5.62964E-13  2.01038E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  5.62958E-13  2.01036E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  5.62951E-13  2.01033E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  5.62944E-13  2.01031E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  5.62937E-13  2.01028E+04  0.00000E+00  1.0E-05
