 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Sm,  Z =  62,  atomic weight = 1.50360E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.68977E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 62
 #
 # Total elastic cross section = 7.34150E-18 cm**2 = 2.62170E-01 a0**2
 # 1st transport cross section = 3.46395E-22 cm**2 = 1.23700E-05 a0**2
 # 2nd transport cross section = 9.48583E-22 cm**2 = 3.38745E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.64881E-12  5.88801E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.64880E-12  5.88795E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.64879E-12  5.88792E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.64878E-12  5.88789E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.64876E-12  5.88784E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.64875E-12  5.88780E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.64873E-12  5.88774E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.64872E-12  5.88768E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.64870E-12  5.88761E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.64868E-12  5.88753E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.64865E-12  5.88745E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.64863E-12  5.88736E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.64860E-12  5.88726E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.64857E-12  5.88716E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.64854E-12  5.88705E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.64851E-12  5.88694E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.64848E-12  5.88681E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.64844E-12  5.88669E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.64840E-12  5.88655E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.64836E-12  5.88641E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.64832E-12  5.88626E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.64828E-12  5.88610E+04  0.00000E+00  1.0E-05
