 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ta,  Z =  73,  atomic weight = 1.80948E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.05204E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 73
 #
 # Total elastic cross section = 7.54871E-18 cm**2 = 2.69569E-01 a0**2
 # 1st transport cross section = 4.88589E-22 cm**2 = 1.74478E-05 a0**2
 # 2nd transport cross section = 1.31656E-21 cm**2 = 4.70151E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.06434E-12  3.80083E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.06433E-12  3.80081E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.06433E-12  3.80080E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.06433E-12  3.80078E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.06432E-12  3.80077E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.06432E-12  3.80075E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.06431E-12  3.80073E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.06431E-12  3.80071E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.06430E-12  3.80068E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.06429E-12  3.80066E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.06428E-12  3.80063E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.06428E-12  3.80060E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.06427E-12  3.80056E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.06426E-12  3.80053E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.06424E-12  3.80049E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.06423E-12  3.80045E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.06422E-12  3.80040E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.06421E-12  3.80036E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.06419E-12  3.80031E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.06418E-12  3.80026E+04  0.00000E+00  1.0E-05
