 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Tc,  Z =  43,  atomic weight = 9.89063E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.94833E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 43
 #
 # Total elastic cross section = 4.18354E-18 cm**2 = 1.49397E-01 a0**2
 # 1st transport cross section = 1.61614E-22 cm**2 = 5.77136E-06 a0**2
 # 2nd transport cross section = 4.51657E-22 cm**2 = 1.61290E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.49501E-13  2.31941E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  6.49498E-13  2.31940E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  6.49497E-13  2.31939E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  6.49494E-13  2.31939E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  6.49492E-13  2.31938E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  6.49489E-13  2.31937E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  6.49486E-13  2.31936E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  6.49482E-13  2.31934E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  6.49478E-13  2.31933E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  6.49473E-13  2.31931E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  6.49468E-13  2.31929E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  6.49463E-13  2.31927E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  6.49457E-13  2.31925E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  6.49451E-13  2.31923E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  6.49445E-13  2.31921E+04  0.00000E+00  1.0E-05
