 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Te,  Z =  52,  atomic weight = 1.27600E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.38684E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 52
 #
 # Total elastic cross section = 5.61131E-18 cm**2 = 2.00383E-01 a0**2
 # 1st transport cross section = 2.39517E-22 cm**2 = 8.55329E-06 a0**2
 # 2nd transport cross section = 6.63613E-22 cm**2 = 2.36980E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.98794E-13  2.85254E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.98791E-13  2.85253E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.98789E-13  2.85253E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.98787E-13  2.85252E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.98785E-13  2.85251E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.98782E-13  2.85250E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.98779E-13  2.85249E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.98776E-13  2.85248E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.98772E-13  2.85247E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.98768E-13  2.85245E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.98764E-13  2.85244E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.98759E-13  2.85242E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.98754E-13  2.85240E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.98748E-13  2.85238E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.98742E-13  2.85236E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.98736E-13  2.85234E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.98729E-13  2.85231E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.98722E-13  2.85229E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.98715E-13  2.85226E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.98707E-13  2.85224E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.98699E-13  2.85221E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.98691E-13  2.85218E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.98682E-13  2.85215E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.98673E-13  2.85211E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.98663E-13  2.85208E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.98654E-13  2.85204E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.98643E-13  2.85201E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.98633E-13  2.85197E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.98622E-13  2.85193E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.98611E-13  2.85189E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.98599E-13  2.85185E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.98587E-13  2.85181E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.98575E-13  2.85176E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.98562E-13  2.85172E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.98549E-13  2.85167E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.98535E-13  2.85162E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.98522E-13  2.85157E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.98507E-13  2.85152E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.98346E-13  2.85095E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.98149E-13  2.85024E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.97916E-13  2.84941E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.97648E-13  2.84845E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.97343E-13  2.84737E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.97003E-13  2.84615E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.96628E-13  2.84481E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.96217E-13  2.84334E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.95771E-13  2.84175E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.95289E-13  2.84003E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.94772E-13  2.83818E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.94220E-13  2.83621E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.93633E-13  2.83412E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.93012E-13  2.83190E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.92355E-13  2.82955E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.91664E-13  2.82708E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.90938E-13  2.82449E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.90178E-13  2.82178E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.89384E-13  2.81894E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.88556E-13  2.81599E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  7.87694E-13  2.81291E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  7.86799E-13  2.80971E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  7.85870E-13  2.80639E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  7.84907E-13  2.80295E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  7.83912E-13  2.79940E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  7.82884E-13  2.79573E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  7.81822E-13  2.79194E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  7.80729E-13  2.78803E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  7.79603E-13  2.78401E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  7.78445E-13  2.77988E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  7.77255E-13  2.77563E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  7.76034E-13  2.77127E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  7.74782E-13  2.76680E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  7.73498E-13  2.76221E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  7.72183E-13  2.75752E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  7.70838E-13  2.75271E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  7.55763E-13  2.69888E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  7.37842E-13  2.63488E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  7.17584E-13  2.56254E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  6.95339E-13  2.48310E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  6.71294E-13  2.39723E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  6.45841E-13  2.30634E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  6.19491E-13  2.21224E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  5.92606E-13  2.11624E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  5.65339E-13  2.01886E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  5.37890E-13  1.92084E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  5.10764E-13  1.82397E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  4.84176E-13  1.72902E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  4.58217E-13  1.63632E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  4.32834E-13  1.54568E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.08440E-13  1.45856E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  3.85104E-13  1.37523E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  3.62866E-13  1.29582E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.41508E-13  1.21955E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.21326E-13  1.14747E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.02300E-13  1.07953E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  2.84403E-13  1.01562E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  2.67464E-13  9.55133E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.51579E-13  8.98404E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.36725E-13  8.45359E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.22847E-13  7.95799E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.09826E-13  7.49302E+03  0.00000E+00  1.0E-05
