 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  U,  Z =  92,  atomic weight = 2.38029E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.63122E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 92
 #
 # Total elastic cross section = 1.19180E-17 cm**2 = 4.25599E-01 a0**2
 # 1st transport cross section = 8.03398E-22 cm**2 = 2.86899E-05 a0**2
 # 2nd transport cross section = 2.08924E-21 cm**2 = 7.46080E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.34468E-12  8.37301E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.34467E-12  8.37295E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.34466E-12  8.37292E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.34465E-12  8.37288E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.34463E-12  8.37283E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.34462E-12  8.37278E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.34460E-12  8.37271E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.34458E-12  8.37264E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.34456E-12  8.37257E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.34453E-12  8.37248E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.34451E-12  8.37239E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.34448E-12  8.37229E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.34445E-12  8.37218E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.34442E-12  8.37207E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.34438E-12  8.37195E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.34435E-12  8.37182E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.34431E-12  8.37168E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.34427E-12  8.37154E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.34423E-12  8.37139E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.34418E-12  8.37123E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.34414E-12  8.37107E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.34409E-12  8.37089E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.34404E-12  8.37071E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.34399E-12  8.37052E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.34393E-12  8.37033E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.34387E-12  8.37013E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.34381E-12  8.36992E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.34375E-12  8.36970E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.34369E-12  8.36947E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.34363E-12  8.36924E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.34356E-12  8.36900E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.34349E-12  8.36876E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.34342E-12  8.36850E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.34335E-12  8.36824E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.34327E-12  8.36797E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.34319E-12  8.36769E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.34311E-12  8.36741E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.34303E-12  8.36712E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.34210E-12  8.36380E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.34097E-12  8.35976E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.33963E-12  8.35497E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.33809E-12  8.34946E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.33634E-12  8.34322E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.33439E-12  8.33625E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.33224E-12  8.32856E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.32988E-12  8.32016E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.32733E-12  8.31103E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.32457E-12  8.30120E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.32162E-12  8.29066E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.31847E-12  8.27941E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.31513E-12  8.26747E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.31159E-12  8.25484E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.30786E-12  8.24152E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.30394E-12  8.22752E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.29983E-12  8.21284E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.29553E-12  8.19749E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.29105E-12  8.18148E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.28638E-12  8.16482E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.28153E-12  8.14750E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.27651E-12  8.12955E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.27130E-12  8.11096E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.26592E-12  8.09175E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.26037E-12  8.07191E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.25464E-12  8.05147E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.24875E-12  8.03042E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.24269E-12  8.00879E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.23647E-12  7.98656E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.23008E-12  7.96376E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.22354E-12  7.94040E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.21684E-12  7.91648E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.20999E-12  7.89201E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.20298E-12  7.86700E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.19583E-12  7.84147E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.18854E-12  7.81541E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.10823E-12  7.52864E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.01677E-12  7.20203E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.91705E-12  6.84589E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.81204E-12  6.47093E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.70470E-12  6.08758E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.59738E-12  5.70436E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.49195E-12  5.32784E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.38993E-12  4.96352E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.29262E-12  4.61604E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.20085E-12  4.28832E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.11484E-12  3.98117E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.03479E-12  3.69529E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  9.60747E-13  3.43089E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  8.92648E-13  3.18771E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  8.30028E-13  2.96409E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  7.72580E-13  2.75893E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  7.19959E-13  2.57102E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  6.71823E-13  2.39912E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  6.27709E-13  2.24159E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  5.87278E-13  2.09721E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  5.50203E-13  1.96481E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  5.16117E-13  1.84309E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  4.84746E-13  1.73106E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  4.55847E-13  1.62786E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  4.29192E-13  1.53267E+04  0.00000E+00  1.0E-05
