 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  V,  Z =  23,  atomic weight = 5.09415E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.96650E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 23
 #
 # Total elastic cross section = 1.95245E-18 cm**2 = 6.97234E-02 a0**2
 # 1st transport cross section = 4.58690E-23 cm**2 = 1.63801E-06 a0**2
 # 2nd transport cross section = 1.30130E-22 cm**2 = 4.64703E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.65022E-13  1.66062E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  4.65018E-13  1.66061E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  4.65017E-13  1.66060E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  4.65015E-13  1.66060E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  4.65012E-13  1.66059E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  4.65009E-13  1.66058E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  4.65006E-13  1.66057E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  4.65002E-13  1.66055E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  4.64998E-13  1.66054E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  4.64994E-13  1.66052E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  4.64989E-13  1.66051E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  4.64984E-13  1.66049E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  4.64978E-13  1.66047E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  4.64972E-13  1.66045E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  4.64966E-13  1.66042E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  4.64959E-13  1.66040E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  4.64952E-13  1.66037E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  4.64945E-13  1.66035E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  4.64937E-13  1.66032E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  4.64928E-13  1.66029E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  4.64920E-13  1.66026E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  4.64911E-13  1.66023E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  4.64901E-13  1.66019E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  4.64891E-13  1.66016E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  4.64881E-13  1.66012E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  4.64871E-13  1.66008E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  4.64860E-13  1.66004E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  4.64848E-13  1.66000E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  4.64836E-13  1.65996E+04  0.00000E+00  1.0E-05
