 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Xe,  Z =  54,  atomic weight = 1.31290E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.43827E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 54
 #
 # Total elastic cross section = 5.96569E-18 cm**2 = 2.13039E-01 a0**2
 # 1st transport cross section = 2.59244E-22 cm**2 = 9.25776E-06 a0**2
 # 2nd transport cross section = 7.16746E-22 cm**2 = 2.55954E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.60705E-13  2.71653E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.60703E-13  2.71652E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.60702E-13  2.71652E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.60700E-13  2.71651E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.60698E-13  2.71650E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.60696E-13  2.71650E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.60694E-13  2.71649E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.60692E-13  2.71648E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.60689E-13  2.71647E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.60686E-13  2.71646E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.60682E-13  2.71645E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.60679E-13  2.71643E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.60675E-13  2.71642E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.60670E-13  2.71640E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.60666E-13  2.71639E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.60661E-13  2.71637E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.60656E-13  2.71635E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.60651E-13  2.71633E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.60645E-13  2.71631E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.60640E-13  2.71629E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.60633E-13  2.71627E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.60627E-13  2.71625E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.60620E-13  2.71622E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.60613E-13  2.71620E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.60606E-13  2.71617E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.60599E-13  2.71615E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.60591E-13  2.71612E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.60583E-13  2.71609E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.60575E-13  2.71606E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.60566E-13  2.71603E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.60557E-13  2.71600E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.60548E-13  2.71597E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.60539E-13  2.71593E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.60529E-13  2.71590E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.60519E-13  2.71586E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.60509E-13  2.71583E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.60499E-13  2.71579E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.60488E-13  2.71575E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.60365E-13  2.71531E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.60216E-13  2.71478E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.60039E-13  2.71415E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.59835E-13  2.71342E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  7.59603E-13  2.71259E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  7.59345E-13  2.71167E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  7.59059E-13  2.71065E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  7.58747E-13  2.70953E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  7.58408E-13  2.70832E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  7.58041E-13  2.70701E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  7.57648E-13  2.70561E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  7.57228E-13  2.70411E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  7.56781E-13  2.70251E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  7.56307E-13  2.70082E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  7.55807E-13  2.69904E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  7.55280E-13  2.69716E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  7.54727E-13  2.69518E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  7.54148E-13  2.69311E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  7.53542E-13  2.69095E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  7.52910E-13  2.68869E+04  0.00000E+00  1.0E-05
