 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Zn,  Z =  30,  atomic weight = 6.53900E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.31076E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 30
 #
 # Total elastic cross section = 2.00476E-18 cm**2 = 7.15914E-02 a0**2
 # 1st transport cross section = 7.76824E-23 cm**2 = 2.77409E-06 a0**2
 # 2nd transport cross section = 2.19302E-22 cm**2 = 7.83141E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.46144E-13  8.78995E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.46143E-13  8.78992E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.46142E-13  8.78990E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.46141E-13  8.78987E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.46141E-13  8.78984E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.46140E-13  8.78981E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.46139E-13  8.78977E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.46138E-13  8.78973E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.46136E-13  8.78968E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.46135E-13  8.78963E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.46133E-13  8.78958E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.46132E-13  8.78952E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.46130E-13  8.78945E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.46128E-13  8.78938E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.46126E-13  8.78931E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.46124E-13  8.78923E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.46121E-13  8.78915E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.46119E-13  8.78906E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.46116E-13  8.78897E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.46114E-13  8.78888E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.46111E-13  8.78878E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.46108E-13  8.78867E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.46105E-13  8.78857E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.46102E-13  8.78845E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.46098E-13  8.78833E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.46095E-13  8.78821E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.46091E-13  8.78808E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.46088E-13  8.78795E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.46084E-13  8.78782E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.46080E-13  8.78768E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.46076E-13  8.78753E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.46072E-13  8.78738E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.46068E-13  8.78723E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.46063E-13  8.78707E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.46059E-13  8.78691E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.46054E-13  8.78674E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.46049E-13  8.78657E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.46044E-13  8.78640E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.45988E-13  8.78440E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.45920E-13  8.78195E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.45839E-13  8.77906E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.45745E-13  8.77573E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.45640E-13  8.77196E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.45522E-13  8.76774E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.45391E-13  8.76309E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.45249E-13  8.75799E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.45094E-13  8.75246E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.44927E-13  8.74649E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.44748E-13  8.74009E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.44556E-13  8.73326E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.44353E-13  8.72599E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.44137E-13  8.71830E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.43910E-13  8.71017E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.43670E-13  8.70163E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.43419E-13  8.69266E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.43156E-13  8.68326E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.42881E-13  8.67345E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.42595E-13  8.66322E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.42297E-13  8.65259E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.41988E-13  8.64153E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.41667E-13  8.63007E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.41334E-13  8.61821E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.40991E-13  8.60594E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.40636E-13  8.59327E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.40270E-13  8.58021E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.39893E-13  8.56675E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.39506E-13  8.55291E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.39107E-13  8.53868E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.38698E-13  8.52406E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.38278E-13  8.50906E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.37848E-13  8.49369E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.37407E-13  8.47795E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.36956E-13  8.46184E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.36494E-13  8.44536E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.31344E-13  8.26143E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.25278E-13  8.04484E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.18475E-13  7.80190E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.11072E-13  7.53752E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.03168E-13  7.25527E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.94908E-13  6.96031E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.86456E-13  6.65847E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.77933E-13  6.35409E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.69407E-13  6.04965E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.60955E-13  5.74780E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.52701E-13  5.45307E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.44705E-13  5.16752E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.36994E-13  4.89216E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.29565E-13  4.62685E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.22496E-13  4.37441E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.15796E-13  4.13516E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.09467E-13  3.90915E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.03460E-13  3.69462E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  9.78189E-14  3.49318E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  9.25308E-14  3.30434E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  8.75795E-14  3.12752E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  8.29214E-14  2.96118E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  7.85640E-14  2.80557E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  7.44945E-14  2.66025E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  7.06937E-14  2.52452E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  6.71287E-14  2.39721E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  6.37902E-14  2.27799E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  6.06706E-14  2.16659E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  5.77536E-14  2.06242E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.50161E-14  1.96466E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  5.24426E-14  1.87276E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  5.00311E-14  1.78664E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.77689E-14  1.70586E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.56415E-14  1.62989E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.36310E-14  1.55809E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.17397E-14  1.49055E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.76359E-14  9.86897E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.87722E-14  6.70369E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.33013E-14  4.75000E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  9.62256E-15  3.43628E+02  0.00000E+00  1.0E-05
