 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Zr,  Z =  40,  atomic weight = 9.12240E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.81674E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 40
 #
 # Total elastic cross section = 4.13124E-18 cm**2 = 1.47529E-01 a0**2
 # 1st transport cross section = 1.39352E-22 cm**2 = 4.97635E-06 a0**2
 # 2nd transport cross section = 3.90444E-22 cm**2 = 1.39430E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.86926E-13  3.52438E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  9.86920E-13  3.52435E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  9.86916E-13  3.52434E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  9.86911E-13  3.52432E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  9.86905E-13  3.52430E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  9.86899E-13  3.52428E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  9.86891E-13  3.52425E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  9.86883E-13  3.52422E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  9.86874E-13  3.52419E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  9.86863E-13  3.52415E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  9.86852E-13  3.52411E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  9.86841E-13  3.52407E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  9.86828E-13  3.52403E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  9.86814E-13  3.52398E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  9.86800E-13  3.52393E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  9.86784E-13  3.52387E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  9.86768E-13  3.52381E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  9.86751E-13  3.52375E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  9.86733E-13  3.52369E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  9.86714E-13  3.52362E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  9.86694E-13  3.52355E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  9.86674E-13  3.52348E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  9.86652E-13  3.52340E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  9.86630E-13  3.52332E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  9.86606E-13  3.52323E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  9.86582E-13  3.52315E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  9.86557E-13  3.52306E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  9.86531E-13  3.52297E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  9.86504E-13  3.52287E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  9.86476E-13  3.52277E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  9.86448E-13  3.52267E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  9.86418E-13  3.52256E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  9.86388E-13  3.52246E+04  0.00000E+00  1.0E-05
