0,x,y,z
O,-3.765924,2.2673463,0.1636091
H,-2.7585904,2.0397176,-0.2088104
H,-4.1044718,1.4544771,0.8196129
O,-1.7133266,1.7925493,-0.4275418
O,-4.5661967,0.6578299,1.4143673
H,-1.3969972,2.5202182,-1.0210386
H,-4.2974905,0.8473568,2.3490908
H,-4.0666984,-0.1637221,1.1745928
H,-1.7559194,0.9949997,-1.014027
H,-4.4547905,2.3647093,-0.6836877
H,-3.7445253,3.2092821,0.724389
O,-3.7251185,4.0806115,1.3869012
O,-5.036938,2.4762835,-1.6040936
H,-3.6367251,4.8599376,0.7814251
H,-5.983299,2.4194548,-1.3161228
