 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.09348E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 47
 #
 # Total elastic cross section = 4.34731E-18 cm**2 = 1.55245E-01 a0**2
 # 1st transport cross section = 1.94045E-22 cm**2 = 6.92947E-06 a0**2
 # 2nd transport cross section = 5.40282E-22 cm**2 = 1.92938E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.94070E-13  1.76436E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  4.94069E-13  1.76435E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  4.94068E-13  1.76435E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  4.94066E-13  1.76434E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  4.94065E-13  1.76434E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  4.94063E-13  1.76433E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  4.94061E-13  1.76432E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  4.94059E-13  1.76432E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  4.94057E-13  1.76431E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  4.94054E-13  1.76430E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  4.94051E-13  1.76429E+04  0.00000E+00  1.0E-05
