 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Al,  Z =  13,  atomic weight = 2.69815E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.20927E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 13
 #
 # Total elastic cross section = 7.84625E-19 cm**2 = 2.80195E-02 a0**2
 # 1st transport cross section = 1.47039E-23 cm**2 = 5.25088E-07 a0**2
 # 2nd transport cross section = 4.19471E-23 cm**2 = 1.49796E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.35522E-13  8.41064E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.35520E-13  8.41058E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.35519E-13  8.41055E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.35518E-13  8.41051E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.35517E-13  8.41046E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.35515E-13  8.41041E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.35514E-13  8.41035E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.35512E-13  8.41028E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.35510E-13  8.41021E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.35507E-13  8.41012E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.35505E-13  8.41004E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.35502E-13  8.40994E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.35499E-13  8.40984E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.35496E-13  8.40973E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.35493E-13  8.40961E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.35490E-13  8.40949E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.35486E-13  8.40936E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.35482E-13  8.40922E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.35478E-13  8.40907E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.35474E-13  8.40892E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.35469E-13  8.40876E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.35465E-13  8.40860E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.35460E-13  8.40842E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.35455E-13  8.40824E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.35450E-13  8.40806E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.35444E-13  8.40786E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.35438E-13  8.40766E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.35433E-13  8.40745E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.35427E-13  8.40724E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.35420E-13  8.40702E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.35414E-13  8.40679E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.35407E-13  8.40655E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.35401E-13  8.40631E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.35394E-13  8.40606E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.35386E-13  8.40580E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.35379E-13  8.40553E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.35371E-13  8.40526E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.35364E-13  8.40499E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.35275E-13  8.40182E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.35167E-13  8.39795E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.35039E-13  8.39338E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.34891E-13  8.38812E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.34725E-13  8.38217E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.34538E-13  8.37552E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.34333E-13  8.36818E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.34108E-13  8.36015E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.33864E-13  8.35144E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.33601E-13  8.34205E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.33319E-13  8.33198E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.33018E-13  8.32123E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.32699E-13  8.30982E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.32360E-13  8.29773E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.32003E-13  8.28499E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.31628E-13  8.27159E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.31235E-13  8.25754E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.30823E-13  8.24283E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.30393E-13  8.22749E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.29946E-13  8.21151E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.29480E-13  8.19489E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.28998E-13  8.17765E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.28498E-13  8.15980E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.27980E-13  8.14132E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.27446E-13  8.12224E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.26895E-13  8.10256E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.26327E-13  8.08229E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.25743E-13  8.06142E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.25142E-13  8.03998E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.24526E-13  8.01798E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.23894E-13  7.99539E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.23246E-13  7.97225E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.22583E-13  7.94857E+03  0.00000E+00  1.0E-05
