 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: At,  Z =  85,  atomic weight = 2.09987E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.35987E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 85
 #
 # Total elastic cross section = 9.53135E-18 cm**2 = 3.40371E-01 a0**2
 # 1st transport cross section = 6.77309E-22 cm**2 = 2.41871E-05 a0**2
 # 2nd transport cross section = 1.78651E-21 cm**2 = 6.37976E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.15105E-12  4.11047E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.15105E-12  4.11046E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.15104E-12  4.11045E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.15104E-12  4.11044E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.15104E-12  4.11043E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.15103E-12  4.11042E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.15103E-12  4.11040E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.15103E-12  4.11039E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.15102E-12  4.11037E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.15102E-12  4.11035E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.15101E-12  4.11033E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.15100E-12  4.11031E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.15100E-12  4.11028E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.15099E-12  4.11026E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.15098E-12  4.11023E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.15097E-12  4.11020E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.15096E-12  4.11017E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.15096E-12  4.11014E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.15095E-12  4.11010E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.15094E-12  4.11006E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.15092E-12  4.11003E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.15091E-12  4.10999E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.15090E-12  4.10995E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.15089E-12  4.10990E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.15088E-12  4.10986E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.15086E-12  4.10981E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.15085E-12  4.10976E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.15084E-12  4.10971E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.15082E-12  4.10966E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.15081E-12  4.10961E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.15079E-12  4.10956E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.15078E-12  4.10950E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.15076E-12  4.10944E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.15074E-12  4.10938E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.15073E-12  4.10932E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.15071E-12  4.10926E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.15069E-12  4.10919E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.15067E-12  4.10913E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.15046E-12  4.10837E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.15020E-12  4.10744E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.14989E-12  4.10635E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.14954E-12  4.10508E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.14914E-12  4.10365E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.14869E-12  4.10205E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.14820E-12  4.10029E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.14766E-12  4.09835E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.14707E-12  4.09625E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.14643E-12  4.09399E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.14575E-12  4.09156E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.14503E-12  4.08896E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.14425E-12  4.08620E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.14343E-12  4.08327E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.14257E-12  4.08018E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.14166E-12  4.07693E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.14070E-12  4.07352E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.13970E-12  4.06994E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.13865E-12  4.06620E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.13756E-12  4.06230E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.13642E-12  4.05824E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.13524E-12  4.05403E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.13402E-12  4.04965E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.13275E-12  4.04512E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.13144E-12  4.04043E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.13008E-12  4.03558E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.12868E-12  4.03058E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.12724E-12  4.02543E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.12575E-12  4.02013E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.12422E-12  4.01467E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.12265E-12  4.00906E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.12104E-12  4.00330E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.11938E-12  3.99739E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.11769E-12  3.99134E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.11595E-12  3.98514E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.11417E-12  3.97879E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.09424E-12  3.90760E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.07049E-12  3.82277E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.04358E-12  3.72668E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.01395E-12  3.62089E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  9.81825E-13  3.50616E+04  0.00000E+00  1.0E-05
