 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Total elastic cross section = 7.80330E-18 cm**2 = 2.78661E-01 a0**2
 # 1st transport cross section = 5.78396E-22 cm**2 = 2.06549E-05 a0**2
 # 2nd transport cross section = 1.54278E-21 cm**2 = 5.50936E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.00936E-13  2.50309E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  7.00934E-13  2.50308E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  7.00933E-13  2.50308E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  7.00932E-13  2.50307E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  7.00930E-13  2.50307E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  7.00929E-13  2.50306E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  7.00927E-13  2.50305E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  7.00924E-13  2.50305E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  7.00922E-13  2.50304E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  7.00919E-13  2.50303E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  7.00916E-13  2.50302E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  7.00913E-13  2.50301E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  7.00910E-13  2.50299E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  7.00906E-13  2.50298E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  7.00902E-13  2.50297E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  7.00898E-13  2.50295E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  7.00894E-13  2.50294E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  7.00889E-13  2.50292E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  7.00885E-13  2.50290E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  7.00880E-13  2.50289E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  7.00874E-13  2.50287E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  7.00869E-13  2.50285E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  7.00863E-13  2.50283E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  7.00857E-13  2.50281E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  7.00851E-13  2.50278E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  7.00844E-13  2.50276E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  7.00838E-13  2.50274E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  7.00831E-13  2.50271E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  7.00823E-13  2.50269E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  7.00816E-13  2.50266E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  7.00808E-13  2.50263E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  7.00800E-13  2.50260E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  7.00792E-13  2.50257E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  7.00784E-13  2.50254E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  7.00775E-13  2.50251E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  7.00767E-13  2.50248E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  7.00757E-13  2.50245E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  7.00748E-13  2.50242E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  7.00642E-13  2.50204E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  7.00513E-13  2.50158E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  7.00360E-13  2.50103E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  7.00183E-13  2.50040E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  6.99983E-13  2.49968E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  6.99759E-13  2.49889E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  6.99512E-13  2.49800E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  6.99242E-13  2.49704E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  6.98949E-13  2.49599E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  6.98632E-13  2.49486E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  6.98292E-13  2.49364E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  6.97929E-13  2.49235E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  6.97542E-13  2.49097E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  6.97133E-13  2.48951E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  6.96701E-13  2.48796E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  6.96246E-13  2.48634E+04  0.00000E+00  1.0E-05
