 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  B,  Z =   5,  atomic weight = 1.08110E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.36595E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  5
 #
 # Total elastic cross section = 2.17509E-19 cm**2 = 7.76737E-03 a0**2
 # 1st transport cross section = 2.28048E-24 cm**2 = 8.14375E-08 a0**2
 # 2nd transport cross section = 6.54249E-24 cm**2 = 2.33636E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.30321E-14  1.89381E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.30318E-14  1.89380E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.30317E-14  1.89380E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.30316E-14  1.89379E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.30314E-14  1.89379E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.30312E-14  1.89378E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.30309E-14  1.89377E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.30307E-14  1.89376E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.30304E-14  1.89375E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.30301E-14  1.89374E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.30297E-14  1.89373E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.30294E-14  1.89371E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.30290E-14  1.89370E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.30286E-14  1.89368E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.30281E-14  1.89367E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  5.30276E-14  1.89365E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  5.30271E-14  1.89363E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  5.30266E-14  1.89361E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  5.30260E-14  1.89359E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  5.30255E-14  1.89357E+03  0.00000E+00  1.0E-05
