 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Be,  Z =   4,  atomic weight = 9.01220E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.22669E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  4
 #
 # Total elastic cross section = 1.72869E-19 cm**2 = 6.17327E-03 a0**2
 # 1st transport cross section = 1.46703E-24 cm**2 = 5.23884E-08 a0**2
 # 2nd transport cross section = 4.21126E-24 cm**2 = 1.50387E-07 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.33173E-14  2.26110E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  6.33169E-14  2.26109E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  6.33167E-14  2.26108E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  6.33164E-14  2.26107E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  6.33161E-14  2.26106E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  6.33158E-14  2.26105E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  6.33154E-14  2.26103E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  6.33149E-14  2.26102E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  6.33144E-14  2.26100E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  6.33139E-14  2.26098E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  6.33133E-14  2.26096E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  6.33126E-14  2.26094E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  6.33120E-14  2.26091E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  6.33112E-14  2.26088E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  6.33104E-14  2.26086E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  6.33096E-14  2.26083E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  6.33087E-14  2.26080E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  6.33078E-14  2.26076E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  6.33068E-14  2.26073E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  6.33058E-14  2.26069E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  6.33047E-14  2.26065E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  6.33036E-14  2.26061E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  6.33025E-14  2.26057E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  6.33013E-14  2.26053E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  6.33000E-14  2.26048E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  6.32987E-14  2.26044E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  6.32974E-14  2.26039E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  6.32960E-14  2.26034E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  6.32945E-14  2.26029E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  6.32930E-14  2.26023E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  6.32915E-14  2.26018E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  6.32899E-14  2.26012E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  6.32883E-14  2.26006E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  6.32866E-14  2.26000E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  6.32848E-14  2.25994E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  6.32831E-14  2.25988E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  6.32812E-14  2.25981E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  6.32794E-14  2.25975E+03  0.00000E+00  1.0E-05
