 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Bk,  Z =  97,  atomic weight = 2.47000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.71351E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 97
 #
 # Total elastic cross section = 1.19344E-17 cm**2 = 4.26184E-01 a0**2
 # 1st transport cross section = 8.99844E-22 cm**2 = 3.21340E-05 a0**2
 # 2nd transport cross section = 2.31390E-21 cm**2 = 8.26310E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.92221E-12  6.86434E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.92220E-12  6.86430E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.92219E-12  6.86428E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.92219E-12  6.86425E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.92218E-12  6.86422E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.92217E-12  6.86418E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.92215E-12  6.86413E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.92214E-12  6.86408E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.92212E-12  6.86403E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.92211E-12  6.86397E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.92209E-12  6.86391E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.92207E-12  6.86384E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.92205E-12  6.86376E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.92203E-12  6.86368E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.92200E-12  6.86359E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.92198E-12  6.86350E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.92195E-12  6.86341E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.92192E-12  6.86331E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.92189E-12  6.86320E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.92186E-12  6.86309E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.92183E-12  6.86297E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.92179E-12  6.86285E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.92176E-12  6.86272E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.92172E-12  6.86259E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.92168E-12  6.86245E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.92164E-12  6.86231E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.92160E-12  6.86216E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.92156E-12  6.86201E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.92151E-12  6.86185E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.92147E-12  6.86169E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.92142E-12  6.86152E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.92137E-12  6.86134E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.92132E-12  6.86116E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.92127E-12  6.86098E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.92122E-12  6.86079E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.92116E-12  6.86059E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.92111E-12  6.86039E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.92105E-12  6.86019E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.92039E-12  6.85785E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.91959E-12  6.85500E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.91865E-12  6.85162E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.91756E-12  6.84773E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.91633E-12  6.84333E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.91495E-12  6.83842E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.91343E-12  6.83299E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.91177E-12  6.82705E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.90997E-12  6.82061E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.90802E-12  6.81367E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.90594E-12  6.80622E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.90371E-12  6.79828E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.90135E-12  6.78984E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.89885E-12  6.78091E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.89621E-12  6.77149E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.89344E-12  6.76159E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.89053E-12  6.75120E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.88749E-12  6.74034E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.88431E-12  6.72901E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.88101E-12  6.71720E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.87757E-12  6.70494E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.87401E-12  6.69221E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.87032E-12  6.67903E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.86650E-12  6.66540E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.86256E-12  6.65132E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.85850E-12  6.63681E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.85431E-12  6.62186E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.85000E-12  6.60648E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.84558E-12  6.59068E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.84104E-12  6.57446E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.83638E-12  6.55783E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.83161E-12  6.54080E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.82673E-12  6.52336E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.82174E-12  6.50554E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.81664E-12  6.48732E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.81143E-12  6.46873E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.75390E-12  6.26330E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.68783E-12  6.02736E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.61525E-12  5.76817E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.53817E-12  5.49291E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.45849E-12  5.20835E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.37792E-12  4.92063E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.29791E-12  4.63490E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.21964E-12  4.35541E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.14406E-12  4.08550E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.07184E-12  3.82762E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.00341E-12  3.58325E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  9.39029E-13  3.35333E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  8.78804E-13  3.13827E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  8.22720E-13  2.93799E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  7.70649E-13  2.75204E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  7.22429E-13  2.57984E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  6.77859E-13  2.42068E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  6.36649E-13  2.27351E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  5.98587E-13  2.13759E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  5.63440E-13  2.01208E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  5.30977E-13  1.89615E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  5.00886E-13  1.78870E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  4.73007E-13  1.68914E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  4.47168E-13  1.59687E+04  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  4.23194E-13  1.51125E+04  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  4.00842E-13  1.43143E+04  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  3.79989E-13  1.35697E+04  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  3.60551E-13  1.28755E+04  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  3.42407E-13  1.22276E+04  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  3.25395E-13  1.16201E+04  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  3.09402E-13  1.10489E+04  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  2.94410E-13  1.05136E+04  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  2.80340E-13  1.00111E+04  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  2.67096E-13  9.53816E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  2.54557E-13  9.09040E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  2.42752E-13  8.66883E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.54563E-13  5.51953E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.00566E-13  3.59127E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  6.88007E-14  2.45692E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  4.85654E-14  1.73430E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  3.50448E-14  1.25147E+03  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  2.59210E-14  9.25655E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.96373E-14  7.01261E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.51768E-14  5.41975E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.19114E-14  4.25365E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  9.47794E-15  3.38463E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  7.65121E-15  2.73230E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  6.25491E-15  2.23367E+02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  5.16864E-15  1.84575E+02  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  4.30841E-15  1.53856E+02  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  3.62510E-15  1.29455E+02  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  3.07307E-15  1.09741E+02  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  2.62866E-15  9.38713E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.25966E-15  8.06941E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.95354E-15  6.97622E+01  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.69762E-15  6.06231E+01  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.48240E-15  5.29373E+01  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.30007E-15  4.64263E+01  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.14401E-15  4.08534E+01  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  1.01069E-15  3.60924E+01  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  8.96522E-16  3.20154E+01  0.00000E+00  1.0E-05
