 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cd,  Z =  48,  atomic weight = 1.12411E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.16401E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 48
 #
 # Total elastic cross section = 4.56851E-18 cm**2 = 1.63144E-01 a0**2
 # 1st transport cross section = 2.02695E-22 cm**2 = 7.23835E-06 a0**2
 # 2nd transport cross section = 5.63828E-22 cm**2 = 2.01347E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.60264E-13  2.00074E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  5.60262E-13  2.00073E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  5.60261E-13  2.00073E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  5.60260E-13  2.00072E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  5.60258E-13  2.00072E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  5.60256E-13  2.00071E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  5.60254E-13  2.00070E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  5.60251E-13  2.00069E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  5.60248E-13  2.00068E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  5.60245E-13  2.00067E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  5.60242E-13  2.00066E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  5.60238E-13  2.00065E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  5.60235E-13  2.00063E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  5.60230E-13  2.00062E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  5.60226E-13  2.00060E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  5.60221E-13  2.00059E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  5.60217E-13  2.00057E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  5.60211E-13  2.00055E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  5.60206E-13  2.00053E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  5.60200E-13  2.00051E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  5.60194E-13  2.00049E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  5.60188E-13  2.00047E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  5.60181E-13  2.00044E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  5.60175E-13  2.00042E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  5.60168E-13  2.00039E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  5.60160E-13  2.00037E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  5.60153E-13  2.00034E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  5.60145E-13  2.00031E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  5.60137E-13  2.00028E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  5.60128E-13  2.00025E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  5.60120E-13  2.00022E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  5.60111E-13  2.00019E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  5.60101E-13  2.00016E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  5.60092E-13  2.00012E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  5.60082E-13  2.00009E+04  0.00000E+00  1.0E-05
