 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cf,  Z =  98,  atomic weight = 2.51000E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.74955E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 98
 #
 # Total elastic cross section = 1.16329E-17 cm**2 = 4.15420E-01 a0**2
 # 1st transport cross section = 9.19555E-22 cm**2 = 3.28379E-05 a0**2
 # 2nd transport cross section = 2.35913E-21 cm**2 = 8.42459E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.76174E-12  6.29129E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.76173E-12  6.29125E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.76172E-12  6.29123E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.76172E-12  6.29120E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.76171E-12  6.29117E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.76170E-12  6.29113E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.76168E-12  6.29109E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.76167E-12  6.29104E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.76166E-12  6.29099E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.76164E-12  6.29093E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.76162E-12  6.29087E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.76160E-12  6.29080E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.76158E-12  6.29073E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.76156E-12  6.29065E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.76154E-12  6.29056E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.76151E-12  6.29048E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.76149E-12  6.29038E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.76146E-12  6.29028E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.76143E-12  6.29018E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.76140E-12  6.29007E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.76137E-12  6.28996E+04  0.00000E+00  1.0E-05
