 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Co,  Z =  27,  atomic weight = 5.89332E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.16393E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 27
 #
 # Total elastic cross section = 1.99608E-18 cm**2 = 7.12812E-02 a0**2
 # 1st transport cross section = 6.30482E-23 cm**2 = 2.25149E-06 a0**2
 # 2nd transport cross section = 1.78383E-22 cm**2 = 6.37018E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.15392E-13  1.12629E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.15391E-13  1.12628E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.15390E-13  1.12628E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.15389E-13  1.12627E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.15387E-13  1.12627E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.15386E-13  1.12626E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.15384E-13  1.12626E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.15383E-13  1.12625E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.15381E-13  1.12624E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.15378E-13  1.12624E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.15376E-13  1.12623E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.15373E-13  1.12622E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.15371E-13  1.12621E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.15368E-13  1.12620E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.15365E-13  1.12619E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.15361E-13  1.12618E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.15358E-13  1.12616E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.15354E-13  1.12615E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.15350E-13  1.12614E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.15346E-13  1.12612E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.15342E-13  1.12611E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.15337E-13  1.12609E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.15332E-13  1.12607E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.15328E-13  1.12606E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.15322E-13  1.12604E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.15317E-13  1.12602E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.15312E-13  1.12600E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.15306E-13  1.12598E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.15300E-13  1.12596E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.15294E-13  1.12594E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.15288E-13  1.12591E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.15282E-13  1.12589E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.15275E-13  1.12587E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.15268E-13  1.12584E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.15261E-13  1.12582E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.15254E-13  1.12579E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.15247E-13  1.12577E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.15239E-13  1.12574E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.15153E-13  1.12543E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.15048E-13  1.12506E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.14923E-13  1.12461E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.14780E-13  1.12410E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.14617E-13  1.12352E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.14436E-13  1.12287E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.14235E-13  1.12216E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.14016E-13  1.12137E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.13778E-13  1.12052E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.13522E-13  1.11961E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.13246E-13  1.11862E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.12953E-13  1.11757E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.12640E-13  1.11646E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.12309E-13  1.11528E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.11960E-13  1.11403E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.11593E-13  1.11272E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.11208E-13  1.11134E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.10805E-13  1.10990E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.10384E-13  1.10840E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.09945E-13  1.10683E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.09489E-13  1.10520E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.09015E-13  1.10351E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.08524E-13  1.10176E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.08015E-13  1.09994E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.07490E-13  1.09807E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.06947E-13  1.09613E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.06388E-13  1.09413E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.05813E-13  1.09208E+04  0.00000E+00  1.0E-05
