 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cr,  Z =  24,  atomic weight = 5.19961E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.99369E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 24
 #
 # Total elastic cross section = 1.81813E-18 cm**2 = 6.49267E-02 a0**2
 # 1st transport cross section = 4.98793E-23 cm**2 = 1.78122E-06 a0**2
 # 2nd transport cross section = 1.41409E-22 cm**2 = 5.04981E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.27810E-13  1.17063E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.27808E-13  1.17062E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.27807E-13  1.17062E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.27806E-13  1.17062E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.27804E-13  1.17061E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.27802E-13  1.17060E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.27800E-13  1.17060E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.27798E-13  1.17059E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.27795E-13  1.17058E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.27793E-13  1.17057E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.27790E-13  1.17056E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  3.27786E-13  1.17055E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  3.27783E-13  1.17053E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  3.27779E-13  1.17052E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  3.27775E-13  1.17051E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  3.27771E-13  1.17049E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  3.27766E-13  1.17047E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  3.27761E-13  1.17046E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  3.27757E-13  1.17044E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  3.27751E-13  1.17042E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  3.27746E-13  1.17040E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  3.27740E-13  1.17038E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  3.27734E-13  1.17036E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  3.27728E-13  1.17034E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  3.27721E-13  1.17031E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  3.27715E-13  1.17029E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  3.27708E-13  1.17027E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  3.27701E-13  1.17024E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  3.27693E-13  1.17021E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  3.27685E-13  1.17019E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  3.27678E-13  1.17016E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  3.27669E-13  1.17013E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  3.27661E-13  1.17010E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  3.27652E-13  1.17007E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  3.27643E-13  1.17004E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  3.27634E-13  1.17000E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  3.27625E-13  1.16997E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  3.27615E-13  1.16994E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  3.27506E-13  1.16954E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  3.27372E-13  1.16907E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  3.27214E-13  1.16850E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  3.27031E-13  1.16785E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  3.26825E-13  1.16711E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  3.26595E-13  1.16629E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  3.26340E-13  1.16538E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  3.26062E-13  1.16439E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  3.25760E-13  1.16331E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  3.25435E-13  1.16215E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  3.25086E-13  1.16090E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  3.24713E-13  1.15957E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  3.24318E-13  1.15816E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  3.23899E-13  1.15666E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  3.23457E-13  1.15509E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  3.22993E-13  1.15343E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  3.22506E-13  1.15169E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  3.21997E-13  1.14987E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  3.21465E-13  1.14797E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.20912E-13  1.14600E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.20336E-13  1.14394E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.19739E-13  1.14181E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.19121E-13  1.13960E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.18482E-13  1.13732E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.17822E-13  1.13496E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.17141E-13  1.13253E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.16439E-13  1.13003E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.15718E-13  1.12745E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  3.14976E-13  1.12480E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  3.14215E-13  1.12208E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  3.13435E-13  1.11930E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  3.12635E-13  1.11644E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  3.11817E-13  1.11352E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  3.10980E-13  1.11053E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  3.10125E-13  1.10748E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  3.09252E-13  1.10436E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  2.99600E-13  1.06989E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  2.88499E-13  1.03025E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.76288E-13  9.86642E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.63300E-13  9.40261E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.49845E-13  8.92211E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  2.36208E-13  8.43513E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  2.22636E-13  7.95048E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  2.09330E-13  7.47531E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.96444E-13  7.01515E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.84093E-13  6.57409E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.72359E-13  6.15506E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.61290E-13  5.75976E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.50906E-13  5.38896E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.41203E-13  5.04246E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.32174E-13  4.72001E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.23794E-13  4.42076E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.16032E-13  4.14360E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.08837E-13  3.88664E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.02183E-13  3.64901E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  9.60314E-14  3.42934E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  9.03454E-14  3.22629E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  8.50705E-14  3.03792E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  8.01834E-14  2.86340E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  7.56558E-14  2.70172E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  7.14574E-14  2.55179E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  6.75468E-14  2.41214E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  6.39035E-14  2.28203E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  6.05123E-14  2.16093E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  5.73523E-14  2.04809E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.43955E-14  1.94250E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  5.16218E-14  1.84345E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  4.90273E-14  1.75080E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.65975E-14  1.66403E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.43154E-14  1.58253E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.21603E-14  1.50557E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.01354E-14  1.43326E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.51377E-14  8.97684E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.60024E-14  5.71455E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.06403E-14  3.79971E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  7.23879E-15  2.58502E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  4.99211E-15  1.78272E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  3.52130E-15  1.25748E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  2.54591E-15  9.09161E+01  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  1.88235E-15  6.72199E+01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.42055E-15  5.07287E+01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.09369E-15  3.90563E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  8.58050E-16  3.06415E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  6.84549E-16  2.44457E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  5.54283E-16  1.97938E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  4.54531E-16  1.62316E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  3.77041E-16  1.34644E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  3.15924E-16  1.12818E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  2.67109E-16  9.53863E+00  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.27398E-16  8.12055E+00  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.94917E-16  6.96062E+00  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.68096E-16  6.00280E+00  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.45757E-16  5.20509E+00  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.26929E-16  4.53273E+00  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.11014E-16  3.96438E+00  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  9.74996E-17  3.48177E+00  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  8.59607E-17  3.06971E+00  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  7.60291E-17  2.71505E+00  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  6.74587E-17  2.40899E+00  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  6.00452E-17  2.14425E+00  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  5.36056E-17  1.91429E+00  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  4.79823E-17  1.71348E+00  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  4.30558E-17  1.53755E+00  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  3.87361E-17  1.38329E+00  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  3.49364E-17  1.24760E+00  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  3.15822E-17  1.12782E+00  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  2.86105E-17  1.02170E+00  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  2.59765E-17  9.27637E-01  0.00000E+00  3.4E-06
  1.100E+00  9.21439E-05  1.80142E-17  6.43298E-01  0.00000E+00  2.5E-06
  1.200E+00  1.09658E-04  1.28640E-17  4.59383E-01  0.00000E+00  1.3E-06
  1.300E+00  1.28695E-04  9.42439E-18  3.36551E-01  0.00000E+00  2.1E-07
  1.400E+00  1.49255E-04  7.05959E-18  2.52103E-01  0.00000E+00  6.3E-07
  1.500E+00  1.71338E-04  5.39506E-18  1.92661E-01  0.00000E+00  1.0E-06
  1.600E+00  1.94942E-04  4.19519E-18  1.49813E-01  0.00000E+00  1.0E-06
  1.700E+00  2.20070E-04  3.31238E-18  1.18287E-01  0.00000E+00  8.1E-07
  1.800E+00  2.46720E-04  2.65086E-18  9.46639E-02  0.00000E+00  4.3E-07
  1.900E+00  2.74892E-04  2.14736E-18  7.66838E-02  0.00000E+00  1.0E-07
  2.000E+00  3.04586E-04  1.75854E-18  6.27987E-02  0.00000E+00  3.0E-07
  2.100E+00  3.35803E-04  1.45429E-18  5.19336E-02  0.00000E+00  4.6E-07
  2.200E+00  3.68542E-04  1.21316E-18  4.33227E-02  0.00000E+00  4.7E-07
  2.300E+00  4.02802E-04  1.02019E-18  3.64317E-02  0.00000E+00  3.7E-07
  2.400E+00  4.38585E-04  8.64246E-19  3.08628E-02  0.00000E+00  1.9E-07
  2.500E+00  4.75889E-04  7.37083E-19  2.63217E-02  0.00000E+00  1.0E-07
  2.600E+00  5.14715E-04  6.32450E-19  2.25852E-02  0.00000E+00  1.8E-07
  2.700E+00  5.55063E-04  5.45774E-19  1.94900E-02  0.00000E+00  2.6E-07
  2.800E+00  5.96931E-04  4.73479E-19  1.69082E-02  0.00000E+00  2.6E-07
  2.900E+00  6.40321E-04  4.12784E-19  1.47408E-02  0.00000E+00  2.0E-07
