 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Cu,  Z =  29,  atomic weight = 6.35460E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.26986E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 29
 #
 # Total elastic cross section = 1.86911E-18 cm**2 = 6.67471E-02 a0**2
 # 1st transport cross section = 7.25899E-23 cm**2 = 2.59223E-06 a0**2
 # 2nd transport cross section = 2.05072E-22 cm**2 = 7.32326E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.09935E-13  7.49691E+03  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.09934E-13  7.49688E+03  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.09933E-13  7.49686E+03  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.09933E-13  7.49684E+03  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.09932E-13  7.49681E+03  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.09931E-13  7.49678E+03  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.09930E-13  7.49675E+03  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.09929E-13  7.49671E+03  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.09928E-13  7.49667E+03  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.09927E-13  7.49662E+03  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.09925E-13  7.49657E+03  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.09924E-13  7.49652E+03  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.09922E-13  7.49646E+03  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.09921E-13  7.49640E+03  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.09919E-13  7.49634E+03  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.09917E-13  7.49627E+03  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.09915E-13  7.49620E+03  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.09913E-13  7.49612E+03  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.09910E-13  7.49604E+03  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.09908E-13  7.49595E+03  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.09906E-13  7.49586E+03  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.09903E-13  7.49577E+03  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.09900E-13  7.49567E+03  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.09897E-13  7.49557E+03  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.09894E-13  7.49547E+03  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.09891E-13  7.49536E+03  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.09888E-13  7.49525E+03  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.09885E-13  7.49513E+03  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.09882E-13  7.49501E+03  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.09878E-13  7.49488E+03  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.09875E-13  7.49476E+03  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.09871E-13  7.49462E+03  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.09867E-13  7.49449E+03  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.09863E-13  7.49435E+03  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.09859E-13  7.49420E+03  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.09855E-13  7.49405E+03  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.09851E-13  7.49390E+03  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.09846E-13  7.49374E+03  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.09796E-13  7.49196E+03  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.09735E-13  7.48979E+03  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.09664E-13  7.48722E+03  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.09581E-13  7.48426E+03  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.09487E-13  7.48090E+03  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.09382E-13  7.47715E+03  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.09266E-13  7.47302E+03  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.09139E-13  7.46849E+03  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.09001E-13  7.46357E+03  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.08853E-13  7.45827E+03  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.08694E-13  7.45259E+03  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.08524E-13  7.44652E+03  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.08343E-13  7.44007E+03  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.08152E-13  7.43323E+03  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.07950E-13  7.42603E+03  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.07738E-13  7.41844E+03  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.07515E-13  7.41049E+03  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.07282E-13  7.40216E+03  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.07038E-13  7.39346E+03  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.06784E-13  7.38440E+03  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.06520E-13  7.37497E+03  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.06246E-13  7.36519E+03  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.05962E-13  7.35504E+03  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.05668E-13  7.34455E+03  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.05364E-13  7.33370E+03  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.05051E-13  7.32250E+03  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.04727E-13  7.31095E+03  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.04395E-13  7.29906E+03  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.04052E-13  7.28684E+03  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.03700E-13  7.27428E+03  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.03339E-13  7.26138E+03  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.02969E-13  7.24816E+03  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.02590E-13  7.23461E+03  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.02201E-13  7.22075E+03  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.01804E-13  7.20656E+03  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.01398E-13  7.19206E+03  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.96881E-13  7.03073E+03  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.91603E-13  6.84226E+03  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.85718E-13  6.63212E+03  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.79359E-13  6.40502E+03  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.72634E-13  6.16487E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.65672E-13  5.91624E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.58603E-13  5.66380E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.51528E-13  5.41116E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.44514E-13  5.16068E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.37620E-13  4.91451E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.30929E-13  4.67557E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.24481E-13  4.44531E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.18296E-13  4.22441E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.12367E-13  4.01270E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.06738E-13  3.81169E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.01411E-13  3.62146E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  9.63817E-14  3.44185E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  9.16084E-14  3.27140E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  8.71171E-14  3.11101E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  8.28950E-14  2.96023E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  7.89282E-14  2.81858E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  7.51776E-14  2.68464E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  7.16492E-14  2.55864E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  6.83342E-14  2.44026E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  6.52183E-14  2.32899E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  6.22718E-14  2.22377E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  5.94896E-14  2.12441E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  5.68694E-14  2.03084E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  5.44000E-14  1.94266E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.20613E-14  1.85914E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  4.98412E-14  1.77986E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  4.77435E-14  1.70495E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.57599E-14  1.63412E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.38782E-14  1.56692E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.20819E-14  1.50277E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.03793E-14  1.44197E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.72153E-14  9.71876E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.84931E-14  6.60401E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.30454E-14  4.65859E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  9.36145E-15  3.34304E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  6.74708E-15  2.40943E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  4.92493E-15  1.75872E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  3.65548E-15  1.30540E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  2.75314E-15  9.83163E+01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  2.09845E-15  7.49372E+01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.62037E-15  5.78644E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  1.26981E-15  4.53457E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  1.00860E-15  3.60178E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  8.11103E-16  2.89650E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  6.59809E-16  2.35622E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  5.42872E-16  1.93863E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  4.51267E-16  1.61151E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  3.78758E-16  1.35257E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  3.20532E-16  1.14464E+01  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  2.73384E-16  9.76270E+00  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  2.34828E-16  8.38587E+00  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  2.03018E-16  7.24990E+00  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.76502E-16  6.30298E+00  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.54244E-16  5.50817E+00  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  1.35453E-16  4.83712E+00  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  1.19489E-16  4.26702E+00  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  1.05814E-16  3.77867E+00  0.00000E+00  1.0E-05
