 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Dy,  Z =  66,  atomic weight = 1.62500E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.83895E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 66
 #
 # Total elastic cross section = 7.23207E-18 cm**2 = 2.58262E-01 a0**2
 # 1st transport cross section = 3.94889E-22 cm**2 = 1.41017E-05 a0**2
 # 2nd transport cross section = 1.07547E-21 cm**2 = 3.84056E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.38987E-12  4.96332E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.38986E-12  4.96328E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.38985E-12  4.96326E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.38985E-12  4.96323E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.38984E-12  4.96319E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.38983E-12  4.96316E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.38981E-12  4.96311E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.38980E-12  4.96307E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.38978E-12  4.96301E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.38977E-12  4.96295E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.38975E-12  4.96289E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.38973E-12  4.96282E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.38971E-12  4.96275E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.38969E-12  4.96267E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.38967E-12  4.96259E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.38964E-12  4.96250E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.38961E-12  4.96240E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.38959E-12  4.96231E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.38956E-12  4.96220E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.38953E-12  4.96209E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.38950E-12  4.96198E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.38946E-12  4.96186E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.38943E-12  4.96173E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.38939E-12  4.96160E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.38935E-12  4.96147E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.38931E-12  4.96133E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.38927E-12  4.96119E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.38923E-12  4.96104E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.38919E-12  4.96088E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.38914E-12  4.96072E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.38910E-12  4.96056E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.38905E-12  4.96039E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.38900E-12  4.96021E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.38895E-12  4.96003E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.38890E-12  4.95985E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.38885E-12  4.95966E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.38879E-12  4.95946E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.38873E-12  4.95926E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.38810E-12  4.95698E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.38732E-12  4.95419E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.38639E-12  4.95090E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.38533E-12  4.94711E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.38413E-12  4.94281E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.38279E-12  4.93802E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.38131E-12  4.93274E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.37969E-12  4.92696E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.37793E-12  4.92069E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.37604E-12  4.91393E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.37401E-12  4.90669E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.37185E-12  4.89897E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.36956E-12  4.89078E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.36713E-12  4.88211E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.36457E-12  4.87298E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.36188E-12  4.86338E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.35907E-12  4.85332E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.35613E-12  4.84281E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.35306E-12  4.83186E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.34987E-12  4.82046E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.34655E-12  4.80862E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.34312E-12  4.79635E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.33956E-12  4.78366E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.33589E-12  4.77055E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.33210E-12  4.75702E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.32820E-12  4.74309E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.32419E-12  4.72875E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.32006E-12  4.71403E+04  0.00000E+00  1.0E-05
