 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Eu,  Z =  63,  atomic weight = 1.51964E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.70993E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 63
 #
 # Total elastic cross section = 7.31700E-18 cm**2 = 2.61295E-01 a0**2
 # 1st transport cross section = 3.58205E-22 cm**2 = 1.27917E-05 a0**2
 # 2nd transport cross section = 9.79613E-22 cm**2 = 3.49826E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.57800E-12  5.63513E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  1.57798E-12  5.63508E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  1.57798E-12  5.63505E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  1.57797E-12  5.63502E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  1.57795E-12  5.63498E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  1.57794E-12  5.63493E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  1.57793E-12  5.63488E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  1.57791E-12  5.63482E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  1.57789E-12  5.63476E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  1.57787E-12  5.63468E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  1.57785E-12  5.63461E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  1.57783E-12  5.63452E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  1.57780E-12  5.63444E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  1.57778E-12  5.63434E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  1.57775E-12  5.63424E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  1.57772E-12  5.63413E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  1.57769E-12  5.63402E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  1.57765E-12  5.63390E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  1.57762E-12  5.63377E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  1.57758E-12  5.63364E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  1.57754E-12  5.63350E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  1.57750E-12  5.63335E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  1.57746E-12  5.63320E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  1.57741E-12  5.63304E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  1.57737E-12  5.63288E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  1.57732E-12  5.63271E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  1.57727E-12  5.63253E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  1.57722E-12  5.63235E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  1.57717E-12  5.63216E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  1.57711E-12  5.63197E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  1.57706E-12  5.63177E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  1.57700E-12  5.63156E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  1.57694E-12  5.63135E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  1.57688E-12  5.63113E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  1.57681E-12  5.63090E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  1.57675E-12  5.63067E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  1.57668E-12  5.63044E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  1.57661E-12  5.63019E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  1.57584E-12  5.62742E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  1.57489E-12  5.62402E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  1.57377E-12  5.62002E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  1.57247E-12  5.61541E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  1.57101E-12  5.61019E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  1.56938E-12  5.60436E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  1.56758E-12  5.59793E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  1.56561E-12  5.59091E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  1.56348E-12  5.58328E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  1.56118E-12  5.57507E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  1.55872E-12  5.56627E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  1.55609E-12  5.55689E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  1.55330E-12  5.54694E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  1.55035E-12  5.53641E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  1.54725E-12  5.52531E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  1.54398E-12  5.51366E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  1.54056E-12  5.50145E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  1.53699E-12  5.48870E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  1.53327E-12  5.47540E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.52940E-12  5.46157E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.52537E-12  5.44721E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.52121E-12  5.43233E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.51690E-12  5.41695E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.51245E-12  5.40105E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.50786E-12  5.38466E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.50313E-12  5.36778E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.49827E-12  5.35043E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.49328E-12  5.33260E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.48816E-12  5.31430E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.48291E-12  5.29556E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.47753E-12  5.27637E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.47204E-12  5.25674E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.46642E-12  5.23669E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.46069E-12  5.21622E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.45485E-12  5.19535E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.44889E-12  5.17408E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.38382E-12  4.94170E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.31102E-12  4.68175E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.23285E-12  4.40257E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.15198E-12  4.11381E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.07122E-12  3.82539E+04  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  9.92360E-13  3.54378E+04  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  9.16522E-13  3.27296E+04  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  8.44726E-13  3.01657E+04  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  7.77947E-13  2.77810E+04  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  7.16591E-13  2.55899E+04  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  6.60275E-13  2.35788E+04  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  6.08917E-13  2.17448E+04  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  5.62414E-13  2.00842E+04  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  5.20642E-13  1.85925E+04  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  4.82849E-13  1.72429E+04  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  4.48702E-13  1.60234E+04  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  4.17867E-13  1.49223E+04  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  3.90142E-13  1.39322E+04  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  3.64980E-13  1.30337E+04  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  3.42115E-13  1.22171E+04  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  3.21302E-13  1.14739E+04  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  3.02321E-13  1.07961E+04  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  2.84919E-13  1.01746E+04  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  2.68927E-13  9.60356E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  2.54198E-13  9.07759E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  2.40566E-13  8.59078E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  2.27911E-13  8.13885E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  2.16153E-13  7.71898E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  2.05208E-13  7.32812E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  1.94970E-13  6.96250E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  1.85358E-13  6.61924E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  1.76353E-13  6.29769E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  1.67906E-13  5.99605E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  1.59956E-13  5.71214E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  1.52428E-13  5.44331E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  1.45339E-13  5.19013E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  9.23012E-14  3.29613E+03  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  5.99289E-14  2.14010E+03  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  4.09868E-14  1.46367E+03  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.89802E-14  1.03490E+03  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  2.09702E-14  7.48858E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.55328E-14  5.54688E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  1.17599E-14  4.19955E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  9.05997E-15  3.23537E+02  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  7.06442E-15  2.52275E+02  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  5.56719E-15  1.98808E+02  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  4.44266E-15  1.58650E+02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  3.58504E-15  1.28024E+02  0.00000E+00  1.0E-05
