 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fr,  Z =  87,  atomic weight = 2.23020E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.48881E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 87
 #
 # Total elastic cross section = 1.05903E-17 cm**2 = 3.78187E-01 a0**2
 # 1st transport cross section = 7.12124E-22 cm**2 = 2.54304E-05 a0**2
 # 2nd transport cross section = 1.87114E-21 cm**2 = 6.68196E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.22796E-12  7.95619E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  2.22794E-12  7.95610E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  2.22792E-12  7.95605E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  2.22791E-12  7.95600E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  2.22789E-12  7.95593E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  2.22786E-12  7.95585E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  2.22784E-12  7.95576E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  2.22781E-12  7.95566E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  2.22778E-12  7.95555E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  2.22775E-12  7.95543E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  2.22771E-12  7.95529E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  2.22767E-12  7.95515E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  2.22763E-12  7.95500E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  2.22758E-12  7.95483E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  2.22753E-12  7.95466E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  2.22748E-12  7.95447E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  2.22742E-12  7.95428E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  2.22737E-12  7.95407E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  2.22731E-12  7.95385E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  2.22724E-12  7.95363E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  2.22718E-12  7.95339E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  2.22711E-12  7.95314E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  2.22703E-12  7.95288E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  2.22696E-12  7.95261E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  2.22688E-12  7.95233E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  2.22680E-12  7.95204E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  2.22671E-12  7.95174E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  2.22663E-12  7.95143E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  2.22654E-12  7.95110E+04  0.00000E+00  1.0E-05
  8.000E-04  4.87388E-11  2.22644E-12  7.95077E+04  0.00000E+00  1.0E-05
  8.250E-04  5.18325E-11  2.22635E-12  7.95043E+04  0.00000E+00  1.0E-05
  8.500E-04  5.50215E-11  2.22625E-12  7.95007E+04  0.00000E+00  1.0E-05
  8.750E-04  5.83057E-11  2.22614E-12  7.94971E+04  0.00000E+00  1.0E-05
  9.000E-04  6.16850E-11  2.22604E-12  7.94933E+04  0.00000E+00  1.0E-05
  9.250E-04  6.51595E-11  2.22593E-12  7.94894E+04  0.00000E+00  1.0E-05
  9.500E-04  6.87293E-11  2.22582E-12  7.94855E+04  0.00000E+00  1.0E-05
  9.750E-04  7.23943E-11  2.22571E-12  7.94814E+04  0.00000E+00  1.0E-05
  1.000E-03  7.61544E-11  2.22559E-12  7.94772E+04  0.00000E+00  1.0E-05
  1.250E-03  1.18991E-10  2.22426E-12  7.94297E+04  0.00000E+00  1.0E-05
  1.500E-03  1.71347E-10  2.22263E-12  7.93716E+04  0.00000E+00  1.0E-05
  1.750E-03  2.33223E-10  2.22071E-12  7.93031E+04  0.00000E+00  1.0E-05
  2.000E-03  3.04617E-10  2.21850E-12  7.92241E+04  0.00000E+00  1.0E-05
  2.250E-03  3.85531E-10  2.21600E-12  7.91349E+04  0.00000E+00  1.0E-05
  2.500E-03  4.75965E-10  2.21321E-12  7.90353E+04  0.00000E+00  1.0E-05
  2.750E-03  5.75917E-10  2.21014E-12  7.89255E+04  0.00000E+00  1.0E-05
  3.000E-03  6.85389E-10  2.20678E-12  7.88056E+04  0.00000E+00  1.0E-05
  3.250E-03  8.04380E-10  2.20314E-12  7.86757E+04  0.00000E+00  1.0E-05
  3.500E-03  9.32891E-10  2.19923E-12  7.85358E+04  0.00000E+00  1.0E-05
  3.750E-03  1.07092E-09  2.19504E-12  7.83862E+04  0.00000E+00  1.0E-05
  4.000E-03  1.21847E-09  2.19057E-12  7.82267E+04  0.00000E+00  1.0E-05
  4.250E-03  1.37554E-09  2.18584E-12  7.80576E+04  0.00000E+00  1.0E-05
  4.500E-03  1.54213E-09  2.18084E-12  7.78792E+04  0.00000E+00  1.0E-05
  4.750E-03  1.71823E-09  2.17558E-12  7.76913E+04  0.00000E+00  1.0E-05
  5.000E-03  1.90386E-09  2.17006E-12  7.74942E+04  0.00000E+00  1.0E-05
  5.250E-03  2.09900E-09  2.16428E-12  7.72880E+04  0.00000E+00  1.0E-05
  5.500E-03  2.30367E-09  2.15826E-12  7.70729E+04  0.00000E+00  1.0E-05
  5.750E-03  2.51785E-09  2.15199E-12  7.68491E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  2.14548E-12  7.66166E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  2.13873E-12  7.63755E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  2.13175E-12  7.61263E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  2.12455E-12  7.58690E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  2.11712E-12  7.56037E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  2.10947E-12  7.53306E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  2.10161E-12  7.50499E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  2.09355E-12  7.47620E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  2.08528E-12  7.44667E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  2.07681E-12  7.41644E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  2.06816E-12  7.38553E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  2.05932E-12  7.35397E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  2.05030E-12  7.32176E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  2.04111E-12  7.28892E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  2.03174E-12  7.25548E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  2.02222E-12  7.22148E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  2.01254E-12  7.18691E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.90836E-12  6.81487E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.79590E-12  6.41328E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.67820E-12  5.99298E+04  0.00000E+00  1.0E-05
