 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ga,  Z =  31,  atomic weight = 6.97230E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.40395E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 31
 #
 # Total elastic cross section = 2.21625E-18 cm**2 = 7.91437E-02 a0**2
 # 1st transport cross section = 8.29739E-23 cm**2 = 2.96305E-06 a0**2
 # 2nd transport cross section = 2.34075E-22 cm**2 = 8.35896E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.42407E-13  1.22276E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  3.42405E-13  1.22275E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  3.42404E-13  1.22275E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  3.42403E-13  1.22274E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  3.42402E-13  1.22274E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  3.42400E-13  1.22273E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  3.42398E-13  1.22273E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  3.42396E-13  1.22272E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  3.42394E-13  1.22271E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  3.42391E-13  1.22270E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  3.42388E-13  1.22269E+04  0.00000E+00  1.0E-05
