 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Ir,  Z =  77,  atomic weight = 1.92217E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.17515E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 77
 #
 # Total elastic cross section = 7.86941E-18 cm**2 = 2.81022E-01 a0**2
 # 1st transport cross section = 5.47542E-22 cm**2 = 1.95531E-05 a0**2
 # 2nd transport cross section = 1.46563E-21 cm**2 = 5.23387E-05 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.69431E-13  3.10479E+04  0.00000E+00  1.0E-05
  1.000E-04  7.61557E-13  8.69428E-13  3.10478E+04  0.00000E+00  1.0E-05
  1.250E-04  1.18994E-12  8.69426E-13  3.10478E+04  0.00000E+00  1.0E-05
  1.500E-04  1.71346E-12  8.69424E-13  3.10477E+04  0.00000E+00  1.0E-05
  1.750E-04  2.33225E-12  8.69422E-13  3.10476E+04  0.00000E+00  1.0E-05
  2.000E-04  3.04617E-12  8.69419E-13  3.10475E+04  0.00000E+00  1.0E-05
  2.250E-04  3.85530E-12  8.69416E-13  3.10474E+04  0.00000E+00  1.0E-05
  2.500E-04  4.75964E-12  8.69412E-13  3.10473E+04  0.00000E+00  1.0E-05
  2.750E-04  5.75917E-12  8.69408E-13  3.10471E+04  0.00000E+00  1.0E-05
  3.000E-04  6.85391E-12  8.69404E-13  3.10470E+04  0.00000E+00  1.0E-05
  3.250E-04  8.04379E-12  8.69400E-13  3.10468E+04  0.00000E+00  1.0E-05
  3.500E-04  9.32893E-12  8.69395E-13  3.10466E+04  0.00000E+00  1.0E-05
  3.750E-04  1.07092E-11  8.69389E-13  3.10464E+04  0.00000E+00  1.0E-05
  4.000E-04  1.21847E-11  8.69383E-13  3.10462E+04  0.00000E+00  1.0E-05
  4.250E-04  1.37554E-11  8.69377E-13  3.10460E+04  0.00000E+00  1.0E-05
  4.500E-04  1.54213E-11  8.69371E-13  3.10458E+04  0.00000E+00  1.0E-05
  4.750E-04  1.71823E-11  8.69364E-13  3.10455E+04  0.00000E+00  1.0E-05
  5.000E-04  1.90386E-11  8.69356E-13  3.10453E+04  0.00000E+00  1.0E-05
  5.250E-04  2.09900E-11  8.69349E-13  3.10450E+04  0.00000E+00  1.0E-05
  5.500E-04  2.30367E-11  8.69341E-13  3.10447E+04  0.00000E+00  1.0E-05
  5.750E-04  2.51785E-11  8.69332E-13  3.10444E+04  0.00000E+00  1.0E-05
  6.000E-04  2.74156E-11  8.69323E-13  3.10441E+04  0.00000E+00  1.0E-05
  6.250E-04  2.97478E-11  8.69314E-13  3.10438E+04  0.00000E+00  1.0E-05
  6.500E-04  3.21752E-11  8.69305E-13  3.10434E+04  0.00000E+00  1.0E-05
  6.750E-04  3.46979E-11  8.69295E-13  3.10431E+04  0.00000E+00  1.0E-05
  7.000E-04  3.73157E-11  8.69285E-13  3.10427E+04  0.00000E+00  1.0E-05
  7.250E-04  4.00286E-11  8.69274E-13  3.10423E+04  0.00000E+00  1.0E-05
  7.500E-04  4.28368E-11  8.69263E-13  3.10419E+04  0.00000E+00  1.0E-05
  7.750E-04  4.57402E-11  8.69251E-13  3.10415E+04  0.00000E+00  1.0E-05
